GID_2,province_name,province_name_chn,prefecture_name,prefecture_name_chn,prefecture_type,area_sqkm_approx,matched_cbdb_places,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons,elite_per_1000_sqkm,jinshi_per_1000_sqkm,juren_per_1000_sqkm
CHN.31.1_1,Zhejiang,浙江,Hangzhou,杭州市,PrefectureCity,17088.894,38,2716,1618,1500,617,2099,158.933633,94.681376,87.776307
CHN.15.7_1,Jiangsu,江蘇|江苏,Suzhou,苏州市,PrefectureCity,8458.861,26,2659,1924,1424,1127,1532,314.344922,227.453791,168.344178
CHN.4.1_1,Fujian,福建,Fuzhou,福州市,PrefectureCity,11661.824,24,2548,1496,1464,681,1867,218.490692,128.281819,125.537823
CHN.2.1_1,Beijing,北京|北京,Beijing,北京|北京,Municipality,16375.931,35,2232,1291,1165,247,1985,136.297594,78.835212,71.140993
CHN.31.3_1,Zhejiang,浙江,Jiaxing,嘉兴市,PrefectureCity,3983.318,20,1840,1250,972,665,1175,461.926464,313.808739,244.017676
CHN.31.6_1,Zhejiang,浙江,Ningbo,宁波市,PrefectureCity,8942.193,21,1760,1339,1025,1032,728,196.819729,149.739555,114.625126
CHN.16.3_1,Jiangxi,江西,Ji'an,吉安市,PrefectureCity,25354.582,26,1543,1246,833,1102,441,60.856850,49.142991,32.854022
CHN.16.6_1,Jiangxi,江西,Nanchang,南昌市,PrefectureCity,7414.259,11,1533,858,941,635,898,206.763751,115.722960,126.917606
CHN.6.4_1,Guangdong,廣東|广东,Guangzhou,广州市,PrefectureCity,7156.715,13,1524,611,1093,273,1251,212.946862,85.374365,152.723701
CHN.31.8_1,Zhejiang,浙江,Shaoxing,绍兴市,PrefectureCity,7967.504,15,1498,804,986,557,941,188.013712,100.909896,123.752683
CHN.10.1_1,Hebei,河北,Baoding,保定市,PrefectureCity,22264.861,64,1405,1092,664,513,892,63.103920,49.045893,29.822778
CHN.15.1_1,Jiangsu,江蘇|江苏,Changzhou,常州市,PrefectureCity,4393.095,10,1380,867,722,423,957,314.129333,197.355168,164.348825
CHN.16.1_1,Jiangxi,江西,Fuzhou,抚州市,PrefectureCity,18844.885,25,1253,857,620,462,791,66.490191,45.476531,32.900174
CHN.12.5_1,Henan,河南,Kaifeng,开封市,PrefectureCity,6255.207,22,1226,648,745,271,955,195.996711,103.593694,119.100775
CHN.16.10_1,Jiangxi,江西,Yichun,宜春市,PrefectureCity,18718.852,23,1208,750,694,569,639,64.533872,40.066560,37.074923
CHN.7.6_1,Guangxi,廣西壯族自治區|广西壮族自治区,Guilin,桂林市,PrefectureCity,27617.031,30,1193,431,848,116,1077,43.197982,15.606312,30.705690
CHN.22.6_1,Shaanxi,陝西|陕西,Weinan,渭南市,PrefectureCity,13151.081,26,1135,625,654,243,892,86.304692,47.524610,49.729752
CHN.24.1_1,Shanghai,上海|上海,Shanghai,上海|上海,Municipality,6886.779,17,1070,813,557,529,541,155.370167,118.052285,80.879610
CHN.23.15_1,Shandong,山東|山东,Yantai,烟台市,PrefectureCity,13603.597,23,1050,557,589,185,865,77.185468,40.945053,43.297372
CHN.16.8_1,Jiangxi,江西,Shangrao,上饶市,PrefectureCity,22809.167,25,1046,653,635,519,527,45.858755,28.628840,27.839684
CHN.23.13_1,Shandong,山東|山东,Weifang,潍坊市,PrefectureCity,15718.947,22,1022,712,472,268,754,65.017078,45.295655,30.027457
