c_addr_id,addr_name,addr_name_chn,c_admin_type,c_admin_cat_code,x_coord,y_coord,CHGIS_PT_ID,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons,first_entry_year,last_entry_year
7213,Daxing,大興,Xian,21,116.36800385,39.931427002,121525,720,459,289,1,719,1622,1903
8385,Guangzhou Fu,廣州府,Fu,62,113.25606537,23.134624481,9549,677,12,667,0,677,1655,1831
7769,Fuzhou Fu,福州府,Fu,62,119.32157898,26.073953629,32116,672,16,662,0,672,1721,1833
8293,Changsha,長沙,Xian,21,112.97813416,28.198198318,702,633,130,516,0,633,1730,1904
6034,Putian,莆田,Xian,21,119.011101,25.433954,40298,585,528,374,585,0,1371,1643
7242,Tianjin,天津,Xian,21,117.18782043,39.13697052,121,576,137,450,1,575,1643,1898
7603,Renhe,仁和,Xian,21,120.16862488,30.294124603,40081,561,396,199,0,561,1627,1903
7602,Qiantang,錢塘,Xian,21,120.16862488,30.294124603,40079,558,382,213,2,556,1621,1904
7852,Nanchang,南昌,Xian,21,115.89772034,28.67489624,794,527,162,371,2,525,1622,1904
7770,Min Xian,閩縣,Xian,21,119.32157898,26.073953629,40172,463,328,153,0,463,1631,1905
5993,Jinjiang,晉江,Xian,21,118.589905,24.909641,40257,427,402,208,426,1,1371,1643
7214,Wanping,宛平,Xian,21,116.36800385,39.931427002,109,423,276,163,0,423,1642,1904
7211,Shuntian Fu,順天府,Fu,62,116.36800385,39.931427002,9513,423,30,395,0,423,1646,1856
7530,Wujin,武進,Xian,21,119.95230103,31.782783508,40459,412,271,158,2,410,1534,1903
5401,Yuyao,餘姚,Xian,21,121.152763,30.049067,40788,396,379,277,394,2,1385,1833
7654,Xi'an,西安,Xian,21,118.86764526,28.956821442,40648,390,22,369,0,390,1658,1874
8610,Lingui,臨桂,Xian,21,110.28626251,25.280059814,356,374,196,192,0,374,1657,1904
7771,Houguan,侯官,Xian,21,119.32157898,26.073953629,40178,372,259,124,0,372,1640,1905
8669,Chengdu,成都,Xian,21,104.0779953,30.650384903,1234,372,35,339,0,372,1690,1903
8609,Guilin Fu,桂林府,Fu,62,110.28626251,25.280059814,9557,371,5,368,0,371,1714,1895
8072,He'nan Sheng,河南省,Sheng,137,114.34333038,34.785476685,25004,358,136,227,0,358,1646,1892
