c_addr_id,addr_name,addr_name_chn,CHGIS_PT_ID,x_coord,y_coord,GID_2,province_name,province_name_chn,prefecture_name,prefecture_name_chn,prefecture_type,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons
7213,Daxing,大興,121525,116.36800385,39.931427002,CHN.2.1_1,Beijing,北京|北京,Beijing,北京|北京,Municipality,720,459,289,1,719
8385,Guangzhou Fu,廣州府,9549,113.25606537,23.134624481,CHN.6.4_1,Guangdong,廣東|广东,Guangzhou,广州市,PrefectureCity,677,12,667,0,677
7769,Fuzhou Fu,福州府,32116,119.32157898,26.073953629,CHN.4.1_1,Fujian,福建,Fuzhou,福州市,PrefectureCity,672,16,662,0,672
8293,Changsha,長沙,702,112.97813416,28.198198318,CHN.14.2_1,Hunan,湖南,Changsha,长沙市|長沙市,PrefectureCity,633,130,516,0,633
6034,Putian,莆田,40298,119.011101,25.433954,CHN.4.5_1,Fujian,福建,Putian,莆田市,PrefectureCity,585,528,374,585,0
7242,Tianjin,天津,121,117.18782043,39.13697052,CHN.27.1_1,Tianjin,天津|天津,Tianjin,天津|天津,Municipality,576,137,450,1,575
7603,Renhe,仁和,40081,120.16862488,30.294124603,CHN.31.1_1,Zhejiang,浙江,Hangzhou,杭州市,PrefectureCity,561,396,199,0,561
7602,Qiantang,錢塘,40079,120.16862488,30.294124603,CHN.31.1_1,Zhejiang,浙江,Hangzhou,杭州市,PrefectureCity,558,382,213,2,556
7852,Nanchang,南昌,794,115.89772034,28.67489624,CHN.16.6_1,Jiangxi,江西,Nanchang,南昌市,PrefectureCity,527,162,371,2,525
7770,Min Xian,閩縣,40172,119.32157898,26.073953629,CHN.4.1_1,Fujian,福建,Fuzhou,福州市,PrefectureCity,463,328,153,0,463
5993,Jinjiang,晉江,40257,118.589905,24.909641,CHN.4.6_1,Fujian,福建,Quanzhou,泉州市,PrefectureCity,427,402,208,426,1
7214,Wanping,宛平,109,116.36800385,39.931427002,CHN.2.1_1,Beijing,北京|北京,Beijing,北京|北京,Municipality,423,276,163,0,423
7211,Shuntian Fu,順天府,9513,116.36800385,39.931427002,CHN.2.1_1,Beijing,北京|北京,Beijing,北京|北京,Municipality,423,30,395,0,423
7530,Wujin,武進,40459,119.95230103,31.782783508,CHN.15.1_1,Jiangsu,江蘇|江苏,Changzhou,常州市,PrefectureCity,412,271,158,2,410
5401,Yuyao,餘姚,40788,121.152763,30.049067,CHN.31.6_1,Zhejiang,浙江,Ningbo,宁波市,PrefectureCity,396,379,277,394,2
7654,Xi'an,西安,40648,118.86764526,28.956821442,CHN.31.7_1,Zhejiang,浙江,Quzhou,衢州市,PrefectureCity,390,22,369,0,390
8610,Lingui,臨桂,356,110.28626251,25.280059814,CHN.7.6_1,Guangxi,廣西壯族自治區|广西壮族自治区,Guilin,桂林市,PrefectureCity,374,196,192,0,374
7771,Houguan,侯官,40178,119.32157898,26.073953629,CHN.4.1_1,Fujian,福建,Fuzhou,福州市,PrefectureCity,372,259,124,0,372
8669,Chengdu,成都,1234,104.0779953,30.650384903,CHN.26.2_1,Sichuan,四川,Chengdu,成都市,PrefectureCity,372,35,339,0,372
8609,Guilin Fu,桂林府,9557,110.28626251,25.280059814,CHN.7.6_1,Guangxi,廣西壯族自治區|广西壮族自治区,Guilin,桂林市,PrefectureCity,371,5,368,0,371
8072,He'nan Sheng,河南省,25004,114.34333038,34.785476685,CHN.12.5_1,Henan,河南,Kaifeng,开封市,PrefectureCity,358,136,227,0,358
7539,Wu Xian,吳縣,40406,120.618622,31.31271,CHN.15.7_1,Jiangsu,江蘇|江苏,Suzhou,苏州市,PrefectureCity,350,241,124,3,347
7684,Shaoxing Fu,紹興府,32185,120.57826233,30.004514694,CHN.31.8_1,Zhejiang,浙江,Shaoxing,绍兴市,PrefectureCity,346,10,338,0,346
8208,Hanyang,漢陽,664,114.26192474,30.544374466,CHN.13.12_1,Hubei,湖北,Wuhan,武汉市,PrefectureCity,326,80,251,0,326
8964,Tongzhou Fu,同州府,9660,109.939,34.79724,CHN.22.6_1,Shaanxi,陝西|陕西,Weinan,渭南市,PrefectureCity,315,5,310,0,315
4605,Huating,華亭,40495,121.227638,31.009476,CHN.24.1_1,Shanghai,上海|上海,Shanghai,上海|上海,Municipality,303,296,162,302,1
5430,Nanchang,南昌,41095,115.89772,28.674896,CHN.16.6_1,Jiangxi,江西,Nanchang,南昌市,PrefectureCity,298,214,219,297,1
7620,Jiaxing,嘉興,40057,120.75320435,30.767469406,CHN.31.3_1,Zhejiang,浙江,Jiaxing,嘉兴市,PrefectureCity,297,88,218,0,297
7601,Hangzhou Fu,杭州府,32337,120.16862488,30.294124603,CHN.31.1_1,Zhejiang,浙江,Hangzhou,杭州市,PrefectureCity,290,14,277,0,290
7628,Yin Xian,鄞縣,40743,121.54265594,29.866315842,CHN.31.6_1,Zhejiang,浙江,Ningbo,宁波市,PrefectureCity,289,161,145,0,289
