issuer_name,surrogate_rows,source_row_ids,pool_ids,exit_type,exit_type_counts,max_confidence,max_source_coverage_score,max_continued_function_evidence_score,formal_event_examples,continued_function_examples,gold_standard_overlap,gold_case_id,gold_final_label,needs_human_review
上饶创新发展产业投资集团有限公司,1,sch_20260630_0055,harvest_0055,nominal_exit,nominal_exit:1,medium,3,3,管理委员会及上饶经济技术开发区管理 委员会作为出资人仅以出资额为限承担有限责任，相关举借债务由发行人作为 独立法人负责偿还。发行人将进一步健全信息披露机制，公司不承担政府融资 职能，自 2015 年 1 月 1 日起新增债务依法不属于地方政府债务。 1、发行人不存在“名股实债”、股东借款、借贷资金等债务性资金和以公 益性资产、储备土,不能从预期的还款来源 获得足够的资金，将可能影响本期中期票据按期足额还本付息。 二、发行人的相关风险 （一）财务风险 1、债务规模较大的风险 近年来，发行人进行基础设施建设的资金主要源于债务融资。随着业务不 断发展，发行人的整体债务规模也呈现出逐步增加的趋势。2023-2025 年末及 2026 年 3 月末，发行人负债总额分,true,sch_20260630_0055,nominal_exit,true
上饶市城市建设投资开发集团有限公司,1,sch_20260630_0136,harvest_0136,nominal_exit,nominal_exit:1,medium,3,2,假化解或新增政府隐 性债务，不会用于非经营性资产，不会划转给政府或财政使用，政府 不会通过财政资金直接偿还该笔债务。 4.发行人将进一步健全信息披露机制，发行人不承担政府融资职 能，自 2015 年 1 月 1 日起发行人新增债务依法不属于地方政府债务。 上饶市政府作为出资人仅以出资额为限承担有限责任，相关举借债务 由发行人作为独立,产业投资集团有限公司划入城控集团。新组建上饶市国有资产发展集团有限公司（以下简称国发 集团） 。定位于产业平台建设和运营服务商，划入涉及产业园区、交通运输、新型基础设施等领域 的上饶市国有资产经营集团有限公司和上饶市交通建设投资集团有限公司。 新组建上饶市农文旅发 展集团有限公司（以下简称农文旅集团） 。定位于特定行业领域投资,true,expand_jx_shangrao_chengtou,nominal_exit,true
中煤矿山建设集团有限责任公司,1,sch_20260630_0061,harvest_0061,nominal_exit,nominal_exit:1,medium,3,2,据《关于进一步规范地方政府举债融资行为的通知》（财预〔2017〕 50 号），进一步健全信息披露机制，融资平台公司在境内外举债融资时， 应当向债权人主动书面声明不承担政府融资职能，并明确自2015 年1 月1 日起其新增债务依法不属于地方政府债务 （3）根据《关于进一步规范地方政府举债融资行为的通知》（财预〔2017〕 50 号），,5.88 2022.2 8 顾北煤矿安全改建及二水平延深工程 项目 淮浙煤电有限责任公司 1.91 1.16 2025.5 小计 87.31 60.25 - 基础设施建设板块 9 HT2022-02 肥西经开区创新产业园EPC 项目 合肥桃花工业园经济发展有限公 司 7.07 3.49 2022.5 10 S22 天天高速安,false,,,true
临沂城市建设投资集团有限公司,2,sch_20260630_0115; sch_20260630_0154,harvest_0115; harvest_0154,nominal_exit,nominal_exit:2,medium,3,3,审批结果为准） 发行人承诺临沂市国资委作为出资人仅以出资额为限承担有限责任，相关 举借债务由发行人作为独立法人负责偿还。发行人将进一步健全信息披露机制， 公司不承担政府融资职能，自 2015 年 1 月 1 日起新增债务依法不属于地方政府 债务。 截至本募集说明书签署日，发行人业务合法合规性情况： （1）截至本募集说明书签署日 | 以审批结果为准） 发行人承诺临沂市国资委作为出资人仅以出资额为限承担有限责任，相关 举借债务由发行人作为独立法人负责偿还。发行人将进一步健全信息披露机制， 公司不承担政府融资职能，自 2015 年 1 月 1 日起新增债务依法不属于地方政 府债务。 截至本募集说明书签署日，发行人业务合法合规性情况： （1）截至本募集说明书签署日，发,从事经营领域主要涉及木业、建筑等行业，属于国家大力支持和发 展的产业。在我国国民经济发展的不同阶段，国家和地方产业政策会有不同程 度的调整。未来不排除国家对城市基础设施的宏观政策出现调控的可能，从而 给发行人的经营管理活动带来潜在风险；同时政府对于土地利用、环境保护、 物价水平的关注，可能会对公司相关业务的短期利润实现和现金回 | 于国家大力支持和发 --- page 23 --- 22 展的产业。在我国国民经济发展的不同阶段，国家和地方产业政策会有不同程 度的调整。未来不排除国家对城市基础设施的宏观政策出现调控的可能，从而 给发行人的经营管理活动带来潜在风险；同时政府对于土地利用、环境保护、 物价水平的关注，可能会对公司相关业务的短期利润实现和现金回,true,expand_sd_linyi_chengtou,nominal_exit,true
丹阳投资集团有限公司,1,sch_20260630_0044,harvest_0044,nominal_exit,nominal_exit:1,medium,3,2,综合开发有限公司等34 家子公司。 发行人承诺出资人仅以出资额为限承担有限责任，相关举借债务由发行人 作为独立法人负责偿还。发行人将进一步健全信息披露机制，公司不承担政府 融资职能，自2015 年1 月1 日起新增债务依法不属于地方政府债务。 发行人及其合并范围内子公司不存在“名股实债”的情况； 发行人的土地开发、基础设施建设和保障性,..........301 --- page 8 --- 8 重要提示 一、发行人主体提示 （一）核心风险提示 1、多元化经营风险 发行人从事土地开发、城市基础设施建设、水务、材料销售等业务，对外 投资企业行业涉及物流运输、创业投资、金融等领域。发行人对外投资企业行 业跨度较大，国内经济形势错综复杂，发行人投资企业能否持续,true,sch_20260630_0044,nominal_exit,true
义乌中国小商品城控股集团有限公司,1,sch_20260630_0078,harvest_0078,nominal_exit,nominal_exit:1,medium,3,2,。 义乌市人民政府国有资产监督管理办公室作为出资人仅以出资额为限承担有限责任， 相关举借债务由发行人作为独立法人负责偿还。发行人将进一步健全信息披露机制，公司 不承担政府融资职能，自2015 年1 月1 日起新增债务依法不属于地方政府债务。 发行人承诺，发行本期债务融资工具不涉及重复匡算资金用途的情况。 发行人已按照《银行间债券市场,89 亿元和7.77 亿元，各项经营数据持续走高。 发行人未来将进一步聚焦传统转型，塑造“实体市场+数字贸易+跨境今日+进口枢纽 +全球物流”多轮驱动的综合贸易基础设施。从而有效带动多板块收入及创现能力的提升。 但若发行人转型遇阻，有可能对其盈利能力产生不利影响。 10、期间费用占比较高风险 最近三年及一期，公司期间费用占营业,false,,,true
乌鲁木齐交通旅游投资(集团)有限公司,1,sch_20260630_0127,harvest_0127,nominal_exit,nominal_exit:1,medium,3,3,。发行人将进一 --- page 40 --- 乌鲁木齐交通旅游投资（集团）有限公司2026 年度第三期短期融资券募集说明书 40 步健全信息披露机制，公司不承担政府融资职能，自2015 年1 月1 日起新增债 务依法不属于地方政府债务。 发行人业务合法合规性情况： 1、发行人不存在“名股实债”的情况。 2、发行人暂未涉及土地开,〔2017〕50 号文、财预〔2017〕87 号、 财金〔2018〕23 号文等国家相关政策、“六真”原则的情况。 2、经发行人确认并经本所律师适当核查，发行人基础设施建设业务、房地 产业务及PPP 业务合法合规，不存在违反法律法规及公司章程的情形。 3、经核查《募集说明书》条款，本期债务融资工具的本金和利息在发行人 破产清算,false,,,true
乐山国有资产投资运营(集团)有限公司,2,sch_20260630_0082; sch_20260630_0147,harvest_0082; harvest_0147,nominal_exit,nominal_exit:2,medium,3,2,项目，经相关部门批准后方可开展经营活动） 乐山市国资委作为出资人仅以出资额为限承担有限责任，相关举借债务由发 行人负责偿还。发行人将进一步健全信息披露机制，公司不承担政府融资职能， 自 2015 年 1 月 1 日起新增债务依法不属于地方政府债务。 发行人合法合规情况： 1、截至本募集说明书签署之日，发行人母公司不存在以“名股实债” | 项目，经相关部门批准后方可开展经营活动） 乐山市国资委作为出资人仅以出资额为限承担有限责任，相关举借债务由发 行人负责偿还。发行人将进一步健全信息披露机制，公司不承担政府融资职能， 自2015年1月1日起新增债务依法不属于地方政府债务。 发行人合法合规情况： 1、截至本募集说明书签署日，发行人母公司不存在以“名股实债”、股东借 款、,主要风险和报酬转移给客户，即客户已取得该商品所有权上的主要 风险和报酬；客户已接受该商品；其他表明客户已取得商品控制权的迹象。 本公司收入确认的具体方法： 基础设施建设：公司基础设施建设业务属于在某一时段内履行的履约义务，根据已发生成本占 预计总成本的比例确定提供服务的履约进度，并按履约进度确认收入。履约进度不能合理确定时,true,expand_sc_leshan_guozi,nominal_exit,true
亳州城建发展控股集团有限公司,2,sch_20260630_0032; sch_20260630_0152,harvest_0032; harvest_0152,nominal_exit,nominal_exit:2,medium,3,3,会通过财政资金直接偿还该笔债务。政府仅 作为出资人仅以出资额为限承担有限责任，相关债务由地方国有企业作为独立法 人负责偿还。发行人将进一步健全信息披露机制，公司不承担政府融资职能，自 2015年1月1日起新增债务依法不属于地方政府债务。 发行人将严格按照中国银行间市场交易商协会关于非金融企业债务融资工具 募集资金使用有关规定，以及公 | 注册发行。 亳州市国有资产监督管理委员会作为出资人仅以出资额为限承担有限责任， 相关举借债务由发行人作为独立法人负责偿还。发行人将进一步健全信息披露机 制，公司不承担政府融资职能，自2015年1月1日起新增债务依法不属于地方政府 债务。 二、发行人历史沿革及股本变动情况 2010年9月26日，经《亳州市土地开发投融资平台建设协调会议,州城建发展控股集团有限公司 公司注册地址：安徽省亳州市养生大道南侧，龙山路(现漆园路)西侧 法定代表人：孙峰 本公司主要经营活动：代建项目，施工项目，城乡基础设施（包括市政工程、水利 等）建设、运营，房地产开发及销售，建筑材料销售，工程咨询，药材生产与流通等。 2. 历史沿革 亳州城建发展控股集团有限公司（曾用名：亳 | 事项，并仔细阅读本募集说明书中“风险因素”等有关 章节。 一、发行人主体提示 （一）核心风险提示 1、有息债务较高风险 从发行人债务结构看，由于公司主要从事城市基础设施开发建设，需要持续 的资金投入。近三年及一期末，公司资产负债率分别为64.81%、68.05%、67.03%、 66.19%。截至2025 年3 月末，公司有息,true,sch_20260630_0032,nominal_exit,true
伊犁哈萨克自治州财通国有资产经营有限责任公司,1,exp4_20260703_0013,harvest_0200,nominal_exit,nominal_exit:1,medium,3,2,诺伊犁哈萨克自治州国有资产监督管理委员会作为出资人仅以出 资额为限承担有限责任，相关举借债务由发行人作为独立法人负责偿还。发行人 将进一步健全信息披露机制，公司不承担政府融资职能，自2015 年1 月1 日起 新增债务依法不属于地方政府债务。 二、发行人历史沿革 （一）历史沿革 伊犁哈萨克自治州财通国有资产经营有限责任公司（以下简称,"建设项目 84,356,687.08 84,356,687.08 县2017 年双语幼儿园建设项目 90,951,000.00 90,951,000.00 边境基础设施建设项目 71,844,000.00 71,844,000.00 伊宁县文化艺术中心 107,649,618.03 107,649,618.03 代建工程 55",false,,,true
