control_unit_id,province,control_city,control_city_chn,gadm_gid,raw_cities,case_count,case_ids,platforms,capital_or_subprovincial_city,preferred_control_year,fallback_control_year,gdp_value,gdp_unit,gdp_year,gdp_source,gdp_status,population_value,population_unit,population_year,population_source,population_status,gdp_per_capita_value,gdp_per_capita_year,gdp_per_capita_source,gdp_per_capita_status,general_public_budget_revenue,general_public_budget_revenue_unit,general_public_budget_revenue_year,general_public_budget_revenue_source,general_public_budget_revenue_status,general_public_budget_expenditure,general_public_budget_expenditure_unit,general_public_budget_expenditure_year,general_public_budget_expenditure_source,general_public_budget_expenditure_status,fiscal_self_sufficiency_value,fiscal_self_sufficiency_year,fiscal_self_sufficiency_source,fiscal_self_sufficiency_status,local_government_debt_balance,local_government_debt_balance_unit,local_government_debt_balance_year,local_government_debt_balance_source,local_government_debt_balance_status,debt_pressure_value,debt_pressure_definition,debt_pressure_year,debt_pressure_source,debt_pressure_status,government_fund_revenue,government_fund_revenue_unit,government_fund_revenue_year,government_fund_revenue_source,government_fund_revenue_status,land_conveyance_revenue,land_conveyance_revenue_unit,land_conveyance_revenue_year,land_conveyance_revenue_source,land_conveyance_revenue_status,land_finance_dependence_value,land_finance_dependence_definition,land_finance_dependence_year,land_finance_dependence_source,land_finance_dependence_status,statistical_yearbook_query,budget_final_account_query,debt_query,land_finance_query,notes
anhui_bengbu,Anhui,Bengbu,蚌埠市,CHN.1.2_1,Bengbu,1,exp_20260703_0001,蚌埠市城市投资控股有限公司,0,2024,2023,2532.1,100m_yuan,2024,https://www.dfratings.com/uploads/files/2025/0606/NyRoD73272wLuht6AbR9ZH9ewvneST6V2ZiDQ8ad.pdf,source_backed_rating_report_compilation,326.1,10k_persons,2024,https://www.dfratings.com/uploads/files/2025/0606/NyRoD73272wLuht6AbR9ZH9ewvneST6V2ZiDQ8ad.pdf,source_backed_rating_report_compilation,77727,2024,https://www.dfratings.com/uploads/files/2025/0606/NyRoD73272wLuht6AbR9ZH9ewvneST6V2ZiDQ8ad.pdf,source_backed_rating_report_compilation,185.14,100m_yuan,2024,https://www.dfratings.com/uploads/files/2025/0606/NyRoD73272wLuht6AbR9ZH9ewvneST6V2ZiDQ8ad.pdf,source_backed_rating_report_compilation,397.13,100m_yuan,2024,https://www.dfratings.com/uploads/files/2025/0606/NyRoD73272wLuht6AbR9ZH9ewvneST6V2ZiDQ8ad.pdf,calculated_from_source_backed_rating_report_fiscal_self_sufficiency,0.466200,2024,https://www.dfratings.com/uploads/files/2025/0606/NyRoD73272wLuht6AbR9ZH9ewvneST6V2ZiDQ8ad.pdf,source_backed_rating_report_compilation,903.38,100m_yuan,2024,https://www.dfratings.com/uploads/files/2025/0606/NyRoD73272wLuht6AbR9ZH9ewvneST6V2ZiDQ8ad.pdf,source_backed_rating_report_compilation,4.879443,local_government_debt_balance / general_public_budget_revenue,2024,https://www.dfratings.com/uploads/files/2025/0606/NyRoD73272wLuht6AbR9ZH9ewvneST6V2ZiDQ8ad.pdf,source_backed_rating_report_compilation,81.65,100m_yuan,2024,https://www.dfratings.com/uploads/files/2025/0606/NyRoD73272wLuht6AbR9ZH9ewvneST6V2ZiDQ8ad.pdf,source_backed_rating_report_compilation,,,,,to_collect,0.441018,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.dfratings.com/uploads/files/2025/0606/NyRoD73272wLuht6AbR9ZH9ewvneST6V2ZiDQ8ad.pdf,source_backed_rating_report_compilation,蚌埠市 2024 国民经济和社会发展统计公报 GDP 常住人口,蚌埠市 2024 财政决算 一般公共预算收入 一般公共预算支出,蚌埠市 2024 地方政府债务余额 决算,蚌埠市 2024 政府性基金收入 国有土地使用权出让收入 决算,Dongfang Jincheng reports Bengbu 2024 GDP resident population per-capita GDP general-budget revenue government-fund revenue fiscal self-sufficiency and local-government debt balance from public materials. General-budget expenditure is calculated from reported fiscal self-sufficiency. The row brings the Bengbu city-investment nominal-exit case into the first-pass full-controls sample and adds an Anhui high-debt comparison.
anhui_bozhou,Anhui,Bozhou,亳州市,CHN.1.3_1,Bozhou,2,sch_20260630_0027; sch_20260630_0032,亳州城建发展控股集团有限公司; 建安投资控股集团有限公司,0,2024,2023,2521.60,100m_yuan,2024,https://www.tjnj.net/newsview.aspx?newsid=20250429091143,source_backed_official_statistical_communique_reprint,486.1,10k_persons,2024,https://www.tjnj.net/newsview.aspx?newsid=20250429091143,source_backed_official_statistical_communique_reprint,51662,2024,https://www.tjnj.net/newsview.aspx?newsid=20250429091143,source_backed_official_statistical_communique_reprint,168.80,100m_yuan,2024,https://static.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2025-06-25/152448_20250625_V0T2.pdf,source_backed_rating_report_compilation,416.38,100m_yuan,2024,https://static.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2025-06-25/152448_20250625_V0T2.pdf,calculated_from_source_backed_rating_report_fiscal_balance,0.405400,2024,https://static.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2025-06-25/152448_20250625_V0T2.pdf,source_backed_rating_report_compilation,1114.10,100m_yuan,2024,https://static.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2025-06-25/152448_20250625_V0T2.pdf,source_backed_rating_report_compilation,6.600118,local_government_debt_balance / general_public_budget_revenue,2024,https://static.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2025-06-25/152448_20250625_V0T2.pdf,source_backed_rating_report_compilation,66.10,100m_yuan,2024,https://www.bozhou.gov.cn/OpennessContent/show/2883523.html,source_backed_official_audit_report_proxy,,,,,to_collect,0.391588,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.bozhou.gov.cn/OpennessContent/show/2883523.html,source_backed_official_audit_report_proxy,亳州市 2024 国民经济和社会发展统计公报 GDP 常住人口,亳州市 2024 财政决算 一般公共预算收入 一般公共预算支出,亳州市 2024 地方政府债务余额 决算,亳州市 2024 政府性基金收入 国有土地使用权出让收入 决算,Statistical-communique values are from a public reprint. General-budget debt and fiscal-balance values are from the 2025 CCXI tracking-rating report; expenditure is calculated from the reported fiscal balance ratio. The rating report says Bozhou did not publish 2022-2024 government-fund revenue; the government-fund field uses the municipal audit-work-report figure as a transparent first-pass proxy.
anhui_luan,Anhui,Lu'an,六安市,CHN.1.12_1,Lu'an,1,expand_ah_luan_chengtou,六安城市建设投资有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,六安市 2024 国民经济和社会发展统计公报 GDP 常住人口,六安市 2024 财政决算 一般公共预算收入 一般公共预算支出,六安市 2024 地方政府债务余额 决算,六安市 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
anhui_suzhou,Anhui,Suzhou,宿州市,CHN.1.14_1,Suzhou,1,expand_ah_suzhou_chengtou,宿州市城市建设投资集团(控股)有限公司,0,2024,2023,2457.30,100m_yuan,2024,https://www.lhratings.com/reports/B1610-P62794-2022-GZ2025.pdf,source_backed_rating_report_compilation,522.50,10k_persons,2024,https://www.lhratings.com/reports/B1610-P62794-2022-GZ2025.pdf,source_backed_rating_report_compilation,46900,2024,https://www.lhratings.com/reports/B1610-P62794-2022-GZ2025.pdf,source_backed_rating_report_compilation,162.48,100m_yuan,2024,https://www.lhratings.com/reports/B1610-P62794-2022-GZ2025.pdf,source_backed_rating_report_compilation,489.81,100m_yuan,2024,https://www.lhratings.com/reports/B1610-P62794-2022-GZ2025.pdf,source_backed_rating_report_compilation,0.331720,2024,https://www.lhratings.com/reports/B1610-P62794-2022-GZ2025.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,980.51,100m_yuan,2024,https://www.lhratings.com/reports/B1610-P62794-2022-GZ2025.pdf,source_backed_rating_report_compilation,6.034650,local_government_debt_balance / general_public_budget_revenue,2024,https://www.lhratings.com/reports/B1610-P62794-2022-GZ2025.pdf,source_backed_rating_report_compilation,80.64,100m_yuan,2024,https://www.lhratings.com/reports/B1610-P62794-2022-GZ2025.pdf,source_backed_rating_report_compilation,,,,,to_collect,0.496307,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.lhratings.com/reports/B1610-P62794-2022-GZ2025.pdf,source_backed_rating_report_compilation,宿州市 2024 国民经济和社会发展统计公报 GDP 常住人口,宿州市 2024 财政决算 一般公共预算收入 一般公共预算支出,宿州市 2024 地方政府债务余额 决算,宿州市 2024 政府性基金收入 国有土地使用权出让收入 决算,Lianhe Ratings reports Suzhou Anhui 2024 GDP resident population per-capita GDP general-budget revenue general-budget expenditure fiscal self-sufficiency government-fund revenue and local-government debt balance from public materials. The row brings the Suzhou city-construction nominal-exit case into the first-pass full-controls sample and adds a northern Anhui comparison with weak fiscal self-sufficiency high statutory debt pressure and continuing shantytown redevelopment municipal infrastructure land-development and state-asset functions.
beijing_beijing,Beijing,Beijing,北京,CHN.2.1_1,Beijing,1,sch_20260630_0051,北京未来科学城发展集团有限公司,1,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,北京 2024 国民经济和社会发展统计公报 GDP 常住人口,北京 2024 财政决算 一般公共预算收入 一般公共预算支出,北京 2024 地方政府债务余额 决算,北京 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
fujian_fuzhou,Fujian,Fuzhou,福州市,CHN.4.1_1,Fuzhou,2,expand_fj_fuzhou_chengtou; expand_fj_fuzhou_guozi,福州国有资本投资运营集团有限公司; 福州城市建设投资集团有限公司,0,2024,2023,14236.76,100m_yuan,2024,https://www.fuzhou.gov.cn/zwgk/tjxx/ndbg/202504/t20250403_4999354.htm,source_backed_official_statistical_communique,850.1,10k_persons,2024,https://www.fuzhou.gov.cn/zwgk/tjxx/ndbg/202504/t20250403_4999354.htm,source_backed_official_statistical_communique,167787,2024,https://www.fuzhou.gov.cn/zwgk/tjxx/ndbg/202504/t20250403_4999354.htm,source_backed_official_statistical_communique,750.50,100m_yuan,2024,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,1022.43,100m_yuan,2024,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,0.734036,2024,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,2760.69,100m_yuan,2024,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,3.678468,local_government_debt_balance / general_public_budget_revenue,2024,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,612.28,100m_yuan,2024,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,,,,,to_collect,0.815829,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,福州市 2024 国民经济和社会发展统计公报 GDP 常住人口,福州市 2024 财政决算 一般公共预算收入 一般公共预算支出,福州市 2024 地方政府债务余额 决算,福州市 2024 政府性基金收入 国有土地使用权出让收入 决算,Official statistical communique and municipal budget report; citywide values include Pingtan where the budget report defines full-city figures that way.
guangdong_foshan,Guangdong,Foshan,佛山市,CHN.6.3_1,Foshan,1,pilot_gd_003,佛山市建设发展集团有限公司,0,2024,2023,13361.90,100m_yuan,2024,https://epaper1.fsonline.com.cn/fsrb/html/2025-04/26/content_67007_305974.htm,source_backed_official_statistical_communique_newspaper,969.89,10k_persons,2024,https://epaper1.fsonline.com.cn/fsrb/html/2025-04/26/content_67007_305974.htm,source_backed_official_statistical_communique_newspaper,137767,2024,https://epaper1.fsonline.com.cn/fsrb/html/2025-04/26/content_67007_305974.htm,calculated_from_source_backed_statistical_communique,767.08,100m_yuan,2024,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,919.99,100m_yuan,2024,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,0.833792,2024,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,3136.77,100m_yuan,2024,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,4.089234,local_government_debt_balance / general_public_budget_revenue,2024,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,492.77,100m_yuan,2024,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,,,,,to_collect,0.642397,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,佛山市 2024 国民经济和社会发展统计公报 GDP 常住人口,佛山市 2024 财政决算 一般公共预算收入 一般公共预算支出,佛山市 2024 地方政府债务余额 决算,佛山市 2024 政府性基金收入 国有土地使用权出让收入 决算,Statistical communique is published by Foshan Statistics Bureau and Foshan survey team in Foshan Daily. Fiscal debt and government-fund values are from the official 2024 municipal final-account disclosure. The row brings the Foshan functional-transfer case into the first-pass full-controls sample.
guangdong_guangzhou,Guangdong,Guangzhou,广州市,CHN.6.4_1,Guangzhou,3,pilot_gd_001; pilot_gd_001_alt_metro; sch_20260630_0025,广州地铁集团有限公司; 广州市城市建设投资集团有限公司; 知识城(广州)投资集团有限公司,1,2024,2023,31032.50,100m_yuan,2024,https://www.gz.gov.cn/zwgk/sjfb/tjgb/content/post_10203564.html,source_backed_official_statistical_communique,1897.80,10k_persons,2024,https://www.gz.gov.cn/zwgk/sjfb/tjgb/content/post_10203564.html,source_backed_official_statistical_communique,164171,2024,https://www.gz.gov.cn/zwgk/sjfb/tjgb/content/post_10203564.html,source_backed_official_statistical_communique,1954.74,100m_yuan,2024,https://www.gz.gov.cn/zwgk/sjfb/tjgb/content/post_10203564.html,source_backed_official_statistical_communique,2777.43,100m_yuan,2024,https://www.gz.gov.cn/zwgk/sjfb/tjgb/content/post_10203564.html,source_backed_official_statistical_communique,0.703795,2024,https://www.gz.gov.cn/zwgk/sjfb/tjgb/content/post_10203564.html,source_backed_official_statistical_communique,6482.8,100m_yuan,2024,https://www.rd.gz.cn/zyfb/bg/content/post_258263.html,source_backed_official_budget_report,3.316451,local_government_debt_balance / general_public_budget_revenue,2024,https://www.rd.gz.cn/zyfb/bg/content/post_258263.html,source_backed_official_budget_report,1281.7,100m_yuan,2024,https://www.rd.gz.cn/zyfb/bg/content/post_258263.html,source_backed_official_budget_report,,,,,to_collect,0.655688,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.rd.gz.cn/zyfb/bg/content/post_258263.html,source_backed_official_budget_report,广州市 2024 国民经济和社会发展统计公报 GDP 常住人口,广州市 2024 财政决算 一般公共预算收入 一般公共预算支出,广州市 2024 地方政府债务余额 决算,广州市 2024 政府性基金收入 国有土地使用权出让收入 决算,Official statistical communique and municipal budget review report; citywide values.
guangxi_nanning,Guangxi,Nanning,南宁市,CHN.7.11_1,Nanning,1,expand_gx_nanning_chengtou,南宁城市建设投资集团有限责任公司,0,2024,2023,5995.36,100m_yuan,2024,https://www.lhratings.com/reports/B009042-P79351-2025-GZ2025.pdf,source_backed_rating_report_compilation,896.17,10k_persons,2024,https://www.lhratings.com/reports/B009042-P79351-2025-GZ2025.pdf,calculated_from_source_backed_gdp_and_per_capita_gdp,66900,2024,https://www.lhratings.com/reports/B009042-P79351-2025-GZ2025.pdf,source_backed_rating_report_compilation,381.16,100m_yuan,2024,https://www.lhratings.com/reports/B009042-P79351-2025-GZ2025.pdf,source_backed_rating_report_compilation,797.01,100m_yuan,2024,https://www.lhratings.com/reports/B009042-P79351-2025-GZ2025.pdf,source_backed_rating_report_compilation,0.478237,2024,https://www.lhratings.com/reports/B009042-P79351-2025-GZ2025.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,1631.90,100m_yuan,2024,https://www.lhratings.com/reports/B009042-P79351-2025-GZ2025.pdf,source_backed_rating_report_compilation,4.281404,local_government_debt_balance / general_public_budget_revenue,2024,https://www.lhratings.com/reports/B009042-P79351-2025-GZ2025.pdf,source_backed_rating_report_compilation,150.59,100m_yuan,2024,https://www.lhratings.com/reports/B009042-P79351-2025-GZ2025.pdf,source_backed_rating_report_compilation,,,,,to_collect,0.395083,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.lhratings.com/reports/B009042-P79351-2025-GZ2025.pdf,source_backed_rating_report_compilation,南宁市 2024 国民经济和社会发展统计公报 GDP 常住人口,南宁市 2024 财政决算 一般公共预算收入 一般公共预算支出,南宁市 2024 地方政府债务余额 决算,南宁市 2024 政府性基金收入 国有土地使用权出让收入 决算,Lianhe Ratings reports Nanning 2024 GDP per-capita GDP general-budget revenue general-budget expenditure government-fund revenue fiscal self-sufficiency and local-government debt balance from public materials. Resident population is calculated from GDP and per-capita GDP. The row brings the Nanning city-construction nominal-exit case into the first-pass full-controls sample and adds a non-eastern provincial-capital comparison.
hebei_shijiazhuang,Hebei,Shijiazhuang,石家庄市,CHN.10.8_1,Shijiazhuang,1,sch_20260630_0151,石家庄市交通投资开发有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,石家庄市 2024 国民经济和社会发展统计公报 GDP 常住人口,石家庄市 2024 财政决算 一般公共预算收入 一般公共预算支出,石家庄市 2024 地方政府债务余额 决算,石家庄市 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
