model,variable,coefficient,robust_se,p_value,n,dependent_mean,controls,province_fe_count
Historical capacity,Intercept,0.1429,0.0379,0.0002,84,0.1429,No,0
Historical capacity,"Elite density, standardized",0.0664,0.0406,0.1018,84,0.1429,No,0
Measurement controls,Intercept,0.1364,0.0394,0.0005,84,0.1429,Source coverage; capital/sub-provincial,0
Measurement controls,"Elite density, standardized",0.0561,0.0332,0.0915,84,0.1429,Source coverage; capital/sub-provincial,0
Measurement controls,"Source coverage score, standardized",-0.1280,0.0527,0.0151,84,0.1429,Source coverage; capital/sub-provincial,0
Measurement controls,Capital or sub-provincial city,0.0320,0.0942,0.7342,84,0.1429,Source coverage; capital/sub-provincial,0
Platform controls,Intercept,-0.0323,0.0591,0.5844,84,0.1429,Source coverage; capital/sub-provincial; platform hierarchy,0
Platform controls,"Elite density, standardized",0.0537,0.0345,0.1201,84,0.1429,Source coverage; capital/sub-provincial; platform hierarchy,0
Platform controls,"Source coverage score, standardized",-0.1352,0.0516,0.0088,84,0.1429,Source coverage; capital/sub-provincial; platform hierarchy,0
Platform controls,Capital or sub-provincial city,0.0338,0.0900,0.7069,84,0.1429,Source coverage; capital/sub-provincial; platform hierarchy,0
Platform controls,District/county platform,0.1449,0.0748,0.0528,84,0.1429,Source coverage; capital/sub-provincial; platform hierarchy,0
Platform controls,Prefecture/municipal platform,0.2119,0.0800,0.0080,84,0.1429,Source coverage; capital/sub-provincial; platform hierarchy,0
Province FE,Intercept,0.0353,0.0773,0.6484,84,0.1429,Available controls plus province fixed effects,9
Province FE,"Elite density, standardized",0.0169,0.0519,0.7453,84,0.1429,Available controls plus province fixed effects,9
Province FE,"Source coverage score, standardized",-0.1237,0.0626,0.0481,84,0.1429,Available controls plus province fixed effects,9
Province FE,Capital or sub-provincial city,-0.0150,0.0976,0.8779,84,0.1429,Available controls plus province fixed effects,9
Province FE,District/county platform,0.0994,0.0974,0.3074,84,0.1429,Available controls plus province fixed effects,9
Province FE,Prefecture/municipal platform,0.1648,0.0823,0.0452,84,0.1429,Available controls plus province fixed effects,9
