panel_id,case_id,analytic_role,include_in_gold_sample,include_in_historical_capacity_sample,include_in_adjusted_descriptive_sample,include_in_current_validated_model_sample,include_in_full_controls_regression_sample,label_source,exit_type,institutional_change,substantive_exit,nominal_exit,functional_transfer,liquidation,confidence,province,city,control_city,control_unit_id,platform,company_name,capital_or_subprovincial_city,province_fixed_effect,historical_capacity_bin,historical_capacity_label,elite_density_percentile,elite_per_1000_sqkm,jinshi_per_1000_sqkm,juren_per_1000_sqkm,gadm_gid,prefecture_name,prefecture_name_chn,source_coverage_score,continued_function_evidence_score,source_doc_count,source_doc_types,bond_disclosure_quality_status,contemporary_fiscal_capacity_value,contemporary_fiscal_capacity_year,contemporary_fiscal_capacity_source,contemporary_fiscal_capacity_status,gdp_per_capita_value,gdp_per_capita_year,gdp_per_capita_source,gdp_per_capita_status,fiscal_self_sufficiency_value,fiscal_self_sufficiency_year,fiscal_self_sufficiency_source,fiscal_self_sufficiency_status,debt_pressure_value,debt_pressure_year,debt_pressure_bin,debt_pressure_source,debt_pressure_status,land_finance_dependence_value,land_finance_dependence_year,land_finance_dependence_bin,land_finance_dependence_source,land_finance_dependence_status,platform_administrative_level,platform_administrative_level_source,platform_administrative_level_status,surrogate_source_row_ids,surrogate_gold_overlap,surrogate_gold_case_id,surrogate_rows,notes
gold_0001,pilot_sn_xian_hightech,gold_outcome,1,1,1,1,1,human_gold_standard,nominal_exit,0,0,1,0,0,high,Shaanxi,Xian,Xi'an,shaanxi_xian,西安高新控股有限公司,西安高新控股有限公司,1,Shaanxi,middle,Middle historical elite density,0.656,52.58,43.16,22.17,CHN.22.7_1,Xi'an,西安市,4,,12,issuance_plan;legal_opinion;rating_report;financial_report;prospectus;financial_statement,multi-source original or near-original packet,0.641829,2024,https://qidian.sxtvs.com/timing/share/content/10583025,calculated_from_source_backed_budget_revenue_and_expenditure,101485,2024,https://qidian.sxtvs.com/timing/share/content/10583025,source_backed_official_statistical_communique_reprint,0.641829,2024,https://qidian.sxtvs.com/timing/share/content/10583025,calculated_from_source_backed_budget_revenue_and_expenditure,4.633449,2024,,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/493bbe83a4db140e3c392c5687fc50c0.pdf,source_backed_rating_report_compilation,1.212037,2024,,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/493bbe83a4db140e3c392c5687fc50c0.pdf,source_backed_rating_report_compilation,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,,,,,Use as first human-validated pilot label; keep searching for the 2012 government exit-list document before treating the exit event as directly government-confirmed.
gold_0002,pilot_gd_001,gold_outcome,1,1,1,1,1,human_gold_standard,substantive_exit,1,1,0,0,0,medium,Guangdong,Guangzhou,Guangzhou,guangdong_guangzhou,广州市城市建设投资集团有限公司,广州市城市建设投资集团有限公司,1,Guangdong,high,High historical elite density,0.969,212.95,85.37,152.72,CHN.6.4_1,Guangzhou,广州市,4,,4,prospectus;rating_report;company_announcement,multi-source original or near-original packet,0.703795,2024,https://www.gz.gov.cn/zwgk/sjfb/tjgb/content/post_10203564.html,source_backed_official_statistical_communique,164171,2024,https://www.gz.gov.cn/zwgk/sjfb/tjgb/content/post_10203564.html,source_backed_official_statistical_communique,0.703795,2024,https://www.gz.gov.cn/zwgk/sjfb/tjgb/content/post_10203564.html,source_backed_official_statistical_communique,3.316451,2024,,https://www.rd.gz.cn/zyfb/bg/content/post_258263.html,source_backed_official_budget_report,0.655688,2024,,https://www.rd.gz.cn/zyfb/bg/content/post_258263.html,source_backed_official_budget_report,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,Use as second human-validated pilot label and contrast case against Xi'an Hi-tech.
gold_0003,pilot_zj_001,gold_outcome,1,1,1,1,1,human_gold_standard,functional_transfer,1,0,0,1,0,medium,Zhejiang,Hangzhou,Hangzhou,zhejiang_hangzhou,杭州市城市建设投资集团有限公司,杭州市城市建设投资集团有限公司,1,Zhejiang,high,High historical elite density,0.906,158.93,94.68,87.78,CHN.31.1_1,Hangzhou,杭州市,4,,2,prospectus;rating_report,multi-source original or near-original packet,0.981378,2024,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web149/site/attach/0/22d597e448ef42f3912db9c80b730f3c.pdf,source_backed_official_budget_report,173867,2024,https://tjgb.hongheiku.com/djs/57316.html,source_backed_official_statistical_communique_reprint,0.981378,2024,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web149/site/attach/0/22d597e448ef42f3912db9c80b730f3c.pdf,source_backed_official_budget_report,1.691058,2024,,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web149/site/attach/0/22d597e448ef42f3912db9c80b730f3c.pdf,source_backed_official_budget_report,0.579889,2024,,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web149/site/attach/0/22d597e448ef42f3912db9c80b730f3c.pdf,source_backed_official_budget_report,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,Use as third human-validated pilot label to complete initial contrast among nominal exit substantive exit and functional transfer.
gold_0004,pilot_sc_001,gold_outcome,1,1,1,1,1,human_gold_standard,nominal_exit,0,0,1,0,0,medium,Sichuan,Chengdu,Chengdu,sichuan_chengdu,成都城建投资管理集团有限责任公司,成都城建投资管理集团有限责任公司,1,Sichuan,high,High historical elite density,0.719,79.18,27.77,58.12,CHN.26.2_1,Chengdu,成都市,3,,1,prospectus,multi-source original or near-original packet,0.746823,2024,https://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-27/175477_20250627_7VJ0.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,109669,2024,https://www.tjnj.net/newsview.aspx?newsid=20250717155655,source_backed_official_statistical_communique_reprint,0.746823,2024,https://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-27/175477_20250627_7VJ0.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,3.183688,2024,,https://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-27/175477_20250627_7VJ0.pdf,source_backed_rating_report_compilation,0.635583,2024,,https://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-27/175477_20250627_7VJ0.pdf,source_backed_rating_report_compilation,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,Use as fourth human-validated pilot label and as a second nominal-exit case with stronger fiscal-compliance language than Xi'an.
gold_0005,pilot_hn_002,gold_outcome,1,1,1,1,0,human_gold_standard,nominal_exit,0,0,1,0,0,medium,Hunan,Zhuzhou,Zhuzhou,hunan_zhuzhou,株洲市国有资产投资控股集团有限公司,株洲市国有资产投资控股集团有限公司,0,Hunan,low,Low historical elite density,0.281,9.19,6.72,4.95,CHN.14.14_1,Zhuzhou,株洲市|株洲市,4,,6,financial_statement;financial_report;prospectus;legal_opinion;issuance_plan,multi-source original or near-original packet,,,,to_collect,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,Use as fifth human-validated pilot label and first low historical-capacity non-Guizhou nominal-exit case.
gold_0006,pilot_zj_002,gold_outcome,1,1,1,1,1,human_gold_standard,substantive_exit,1,1,0,0,0,medium,Zhejiang,Ningbo,Ningbo,zhejiang_ningbo,宁波开发投资集团有限公司,宁波开发投资集团有限公司,1,Zhejiang,high,High historical elite density,0.938,196.82,149.74,114.63,CHN.31.6_1,Ningbo,宁波市,3,,1,prospectus,multi-source original or near-original packet,0.802786,2024,https://static.sse.com.cn/disclosure/bond/announcement/local/c/new/2025-05-16/0000_20250516_TQDC.pdf,source_backed_bond_disclosure_compilation,186379,2024,https://tjgb.hongheiku.com/xjtjgb/xj2020/57318.html,source_backed_official_statistical_communique_reprint,0.802786,2024,https://static.sse.com.cn/disclosure/bond/announcement/local/c/new/2025-05-16/0000_20250516_TQDC.pdf,source_backed_bond_disclosure_compilation,2.232598,2024,,https://www.sfecr.com/upload/file/2025-12/col121/1767082353593.pdf,source_backed_secondary_compilation,0.402688,2024,,https://static.sse.com.cn/disclosure/bond/announcement/local/c/new/2026-06-18/0000_20260618_TUIO.pdf,source_backed_bond_disclosure_compilation,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New validated case added in the June 28 expansion; useful as a high historical-capacity substantive-exit case.
gold_0007,pilot_zj_003,gold_outcome,1,1,1,1,1,human_gold_standard,functional_transfer,1,0,0,1,0,medium,Zhejiang,Wenzhou,Wenzhou,zhejiang_wenzhou,温州市名城建设投资集团有限公司,温州市名城建设投资集团有限公司,0,Zhejiang,middle,Middle historical elite density,0.594,30.20,15.84,20.48,CHN.31.10_1,Wenzhou,温州市,3,,1,prospectus,multi-source original or near-original packet,0.537159,2024,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1825/site/attach/0/39fd4a0f38894497b55baa945403096f.pdf,source_backed_official_budget_report,99106,2024,https://tjgb.hongheiku.com/djs/57364.html,source_backed_official_statistical_communique_reprint,0.537159,2024,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1825/site/attach/0/39fd4a0f38894497b55baa945403096f.pdf,source_backed_official_budget_report,5.776566,2024,,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1825/site/attach/0/39fd4a0f38894497b55baa945403096f.pdf,source_backed_official_budget_report,1.515951,2024,,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1825/site/attach/0/39fd4a0f38894497b55baa945403096f.pdf,source_backed_official_budget_report,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New validated case added in the June 28 expansion; helps separate issuer-level compliance from group-level public functions.
gold_0008,pilot_js_004,gold_outcome,1,1,1,1,1,human_gold_standard,nominal_exit,0,0,1,0,0,medium,Jiangsu,Xuzhou,Xuzhou,jiangsu_xuzhou,徐州市新盛投资控股集团有限公司,徐州市新盛投资控股集团有限公司,0,Jiangsu,low,Low historical elite density,0.125,5.52,3.29,3.65,CHN.15.10_1,Xuzhou,徐州市,4,,1,prospectus,multi-source original or near-original packet,0.532403,2024,https://www.lhratings.com/reports/B022439-P75208-2024-GZ2025.pdf,source_backed_secondary_compilation,105800,2024,https://www.lhratings.com/reports/B022439-P75208-2024-GZ2025.pdf,source_backed_secondary_compilation,0.532403,2024,https://www.lhratings.com/reports/B022439-P75208-2024-GZ2025.pdf,source_backed_secondary_compilation,3.341787,2024,,https://www.lhratings.com/reports/B022439-P75208-2024-GZ2025.pdf,source_backed_secondary_compilation,0.693230,2024,,https://www.lhratings.com/reports/B022439-P75208-2024-GZ2025.pdf,source_backed_secondary_compilation,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New low historical-capacity validated case; useful for the nominal-exit mechanism.
gold_0009,pilot_hn_004,gold_outcome,1,1,1,1,1,human_gold_standard,nominal_exit,0,0,1,0,0,high,Hunan,Hengyang,Hengyang,hunan_hengyang,衡阳市城市建设投资有限公司,衡阳市城市建设投资有限公司,0,Hunan,middle,Middle historical elite density,0.469,18.58,7.28,13.06,CHN.14.4_1,Hengyang,衡阳市|衡陽市,4,,1,prospectus,multi-source original or near-original packet,0.308438,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,69470,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,0.308438,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,8.015083,2024,,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,0.984764,2024,,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New strongest validated case in the expansion because it has direct exit re-entry and transfer-out language.
gold_0010,pilot_sd_001,gold_outcome,1,1,1,1,1,human_gold_standard,nominal_exit,0,0,1,0,0,medium,Shandong,Jinan,Jinan,shandong_jinan,济南城市投资集团有限公司,济南城市投资集团有限公司,1,Shandong,high,High historical elite density,0.875,116.10,66.54,63.83,CHN.23.5_1,Jinan,济南市,4,,1,prospectus,multi-source original or near-original packet,0.775177,2024,https://jntj.jinan.gov.cn/col18254/art/2025/art_18254_4754709.html,source_backed_official_statistical_communique,142171,2024,https://jntj.jinan.gov.cn/col18254/art/2025/art_18254_4754709.html,source_backed_official_statistical_communique,0.775177,2024,https://jntj.jinan.gov.cn/col18254/art/2025/art_18254_4754709.html,source_backed_official_statistical_communique,3.471332,2024,,https://jncz.jinan.gov.cn/cms_files/complat3/1572/attach/20261/9e5f8d258db84624b580173fea37c055.pdf,source_backed_official_budget_table,0.546629,2024,,https://jncz.jinan.gov.cn/cms_files/complat3/1572/attach/20261/9e5f8d258db84624b580173fea37c055.pdf,source_backed_official_budget_table,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New high historical-capacity validated case with nominal-exit features.
gold_0011,pilot_js_003,gold_outcome,1,1,1,1,1,human_gold_standard,nominal_exit,0,0,1,0,0,medium,Jiangsu,Yancheng,Yancheng,jiangsu_yancheng,盐城市城市资产投资集团有限公司,盐城市城市资产投资集团有限公司,0,Jiangsu,low,Low historical elite density,0.062,2.21,1.82,0.65,CHN.15.11_1,Yancheng,盐城市,4,,1,prospectus,multi-source original or near-original packet,0.436258,2024,https://www.lhratings.com/file/g0fa6dcb35d.pdf,source_backed_secondary_compilation,116400,2024,https://www.lhratings.com/file/g0fa6dcb35d.pdf,source_backed_secondary_compilation,0.436258,2024,https://www.lhratings.com/file/g0fa6dcb35d.pdf,source_backed_secondary_compilation,3.953245,2024,,https://www.lhratings.com/file/g0fa6dcb35d.pdf,source_backed_secondary_compilation,1.472995,2024,,https://www.lhratings.com/file/g0fa6dcb35d.pdf,source_backed_secondary_compilation,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New low historical-capacity validated case; pairs with Xuzhou as a northern Jiangsu comparison.
gold_0012,pilot_gd_003,gold_outcome,1,1,1,1,1,human_gold_standard,functional_transfer,1,0,0,1,0,medium,Guangdong,Foshan,Foshan,guangdong_foshan,佛山市建设发展集团有限公司,佛山市建设发展集团有限公司,0,Guangdong,high,High historical elite density,0.812,100.72,71.43,47.79,CHN.6.3_1,Foshan,佛山市,4,,1,prospectus,multi-source original or near-original packet,0.833792,2024,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,137767,2024,https://epaper1.fsonline.com.cn/fsrb/html/2025-04/26/content_67007_305974.htm,calculated_from_source_backed_statistical_communique,0.833792,2024,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,4.089234,2024,,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,0.642397,2024,,https://www.foshan.gov.cn/attachment/0/565/565690/6786754.pdf,source_backed_official_final_account,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New validated case added in the June 28 expansion; useful for high-capacity functional transfer.
gold_0013,pilot_js_002,gold_outcome,1,1,1,1,1,human_gold_standard,nominal_exit,0,0,1,0,0,medium,Jiangsu,Suzhou,Suzhou,jiangsu_suzhou,苏州城市建设投资发展集团有限公司,苏州城市建设投资发展集团有限公司,0,Jiangsu,high,High historical elite density,1.000,314.34,227.45,168.34,CHN.15.7_1,Suzhou,苏州市,4,,11,financial_report;commitment_letter;issuance_plan;financial_statement;legal_opinion;prospectus,multi-source original or near-original packet,0.944982,2024,https://www.suzhou.gov.cn/szsrmzf/czyjsbg/202502/e4d4339343ca471ca41096fa89b006bf/files/e38f102f6f3941189a6887fb35929d52.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,206000,2024,https://www.suzhou.gov.cn/szsrmzf/ndgmjjhshfztjsjfb/202506/c413b01f30224b7ba5ddbc1768cabe5c.shtml,source_backed_official_statistical_communique,0.944982,2024,https://www.suzhou.gov.cn/szsrmzf/czyjsbg/202502/e4d4339343ca471ca41096fa89b006bf/files/e38f102f6f3941189a6887fb35929d52.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,1.487520,2024,,https://www.suzhou.gov.cn/szsrmzf/czyjsbg/202502/e4d4339343ca471ca41096fa89b006bf/files/e38f102f6f3941189a6887fb35929d52.pdf,source_backed_official_budget_report,0.426205,2024,,https://www.suzhou.gov.cn/szsrmzf/czyjsbg/202502/e4d4339343ca471ca41096fa89b006bf/files/e38f102f6f3941189a6887fb35929d52.pdf,source_backed_official_budget_report,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New validated case added in the June 30 expansion; strongest high historical-capacity nominal-exit contrast against Ningbo substantive exit and Guangzhou fiscal substitution.
gold_0014,pilot_sd_002,gold_outcome,1,1,1,1,1,human_gold_standard,nominal_exit,0,0,1,0,0,medium,Shandong,Qingdao,Qingdao,shandong_qingdao,青岛城市建设投资(集团)有限责任公司,青岛城市建设投资(集团)有限责任公司,1,Shandong,middle,Middle historical elite density,0.438,18.12,15.66,5.64,CHN.23.10_1,Qingdao,青岛市,4,,7,prospectus;financial_statement;financial_report;legal_opinion;issuance_plan,multi-source original or near-original packet,0.778449,2024,https://www.qingdao.gov.cn/zwgk/zdgk/czxx/szfyjs/czys/202502/P020250227340443129972.pdf,source_backed_official_budget_report,160110,2024,https://tjgb.hongheiku.com/djs/58586.html,source_backed_official_statistical_communique_reprint,0.778449,2024,https://www.qingdao.gov.cn/zwgk/zdgk/czxx/szfyjs/czys/202502/P020250227340443129972.pdf,source_backed_official_budget_report,3.272382,2024,,https://www.qingdao.gov.cn/ywdt/zwyw/202502/t20250216_8955414.shtml,source_backed_official_budget_report,0.223273,2024,,https://www.qingdao.gov.cn/zwgk/zdgk/czxx/szfyjs/czys/202502/P020250227340443129972.pdf,source_backed_official_budget_report,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New validated case added in the June 30 expansion; middle-capacity coastal nominal-exit case between Suzhou and weaker debt-pressure cases.
gold_0015,pilot_sc_003,gold_outcome,1,1,1,1,1,human_gold_standard,nominal_exit,0,0,1,0,0,medium,Sichuan,Luzhou,Luzhou,sichuan_luzhou,泸州市兴泸投资集团有限公司,泸州市兴泸投资集团有限公司,0,Sichuan,low,Low historical elite density,0.312,11.36,6.62,8.50,CHN.26.10_1,Luzhou,泸州市,4,,22,legal_opinion;financial_report;rating_report;financial_statement;prospectus;issuance_plan;prospectus_summary;issuer_statement;regulatory_approval,multi-source original or near-original packet,0.448374,2024,https://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-26/185073_20250626_WW4Z.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,66400,2024,https://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-26/185073_20250626_WW4Z.pdf,source_backed_rating_report_compilation,0.448374,2024,https://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-26/185073_20250626_WW4Z.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,5.309610,2024,,https://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-26/185073_20250626_WW4Z.pdf,source_backed_rating_report_compilation,0.814597,2024,,https://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-26/185073_20250626_WW4Z.pdf,source_backed_rating_report_compilation,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New validated case added in the June 30 expansion; low historical-capacity western nominal-exit case with unusually rich cross-time source coverage.
gold_0016,expand_sd_jinan_chengjian,gold_outcome,1,1,1,1,1,human_gold_standard,nominal_exit,0,0,1,0,0,medium,Shandong,Jinan,Jinan,shandong_jinan,济南城市建设集团有限公司,济南城市建设集团有限公司,1,Shandong,high,High historical elite density,0.875,116.10,66.54,63.83,CHN.23.5_1,Jinan,济南市,4,,9,issuance_plan;issuer_commitment;financial_report;legal_opinion;financial_statement;prospectus;bookrunner_commitment,multi-source original or near-original packet,0.775177,2024,https://jntj.jinan.gov.cn/col18254/art/2025/art_18254_4754709.html,source_backed_official_statistical_communique,142171,2024,https://jntj.jinan.gov.cn/col18254/art/2025/art_18254_4754709.html,source_backed_official_statistical_communique,0.775177,2024,https://jntj.jinan.gov.cn/col18254/art/2025/art_18254_4754709.html,source_backed_official_statistical_communique,3.471332,2024,,https://jncz.jinan.gov.cn/cms_files/complat3/1572/attach/20261/9e5f8d258db84624b580173fea37c055.pdf,source_backed_official_budget_table,0.546629,2024,,https://jncz.jinan.gov.cn/cms_files/complat3/1572/attach/20261/9e5f8d258db84624b580173fea37c055.pdf,source_backed_official_budget_table,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New same-city second-platform validated case for Jinan; useful for checking whether city-level capacity predicts platform-level institutional fate consistently.
gold_0017,expand_fj_fuzhou_chengtou,gold_outcome,1,1,1,1,1,human_gold_standard,functional_transfer,1,0,0,1,0,medium,Fujian,Fuzhou,Fuzhou,fujian_fuzhou,福州城市建设投资集团有限公司,福州城市建设投资集团有限公司,0,Fujian,low,Low historical elite density,,218.49,128.28,125.54,CHN.4.1_1,Fuzhou,福州市,4,,10,legal_opinion;financial_report;issuance_plan;prospectus;bookrunner_commitment;issuer_commitment;financial_statement;rating_report,multi-source original or near-original packet,0.734036,2024,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,167787,2024,https://www.fuzhou.gov.cn/zwgk/tjxx/ndbg/202504/t20250403_4999354.htm,source_backed_official_statistical_communique,0.734036,2024,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,3.678468,2024,,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,0.815829,2024,,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfysgk/202501/t20250127_4970241.htm,source_backed_official_budget_report,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,,,,,New Fujian provincial-capital validated case; useful as a formal fiscal-substitution contrast to nominal-exit cases.
