quantity,value
candidate_pool_rows,257
usable_llm_screening_rows,242
usable_exit_type_rows,171
usable_validation_adjustment_rows,242
screening_status:gold_standard_exit_type,87
screening_status:human_reviewed_boundary,6
screening_status:llm_screened_no_direct_formal_event,65
screening_status:llm_surrogate_exit_type,84
screening_status:source_packet_missing,15
screening_label:boundary_outside_core_frame,6
screening_label:functional_transfer,10
screening_label:no_direct_formal_event_observed,65
screening_label:nominal_exit,159
screening_label:source_missing,15
screening_label:substantive_exit,2
