quantity,value
candidate_pool_rows,361
usable_llm_screening_rows,346
usable_exit_type_rows,297
usable_validation_adjustment_rows,346
screening_status:gold_standard_exit_type,94
screening_status:human_reviewed_boundary,5
screening_status:llm_screened_no_direct_formal_event,44
screening_status:llm_surrogate_exit_type,203
screening_status:source_packet_missing,15
screening_label:boundary_outside_core_frame,5
screening_label:functional_transfer,10
screening_label:no_direct_formal_event_observed,44
screening_label:nominal_exit,285
screening_label:source_missing,15
screening_label:substantive_exit,2
