candidate_id,harvest_date,source,search_terms,category,publish_date,issuer_name,announcement_title,announcement_type,instrument_type,source_url,is_issuance_packet,is_noise,noise_reason,lgfv_name_signal,candidate_priority,already_human_validated,already_in_master_pool,llm_label_status,llm_label,llm_confidence,needs_source_packet,notes
sch_20260630_0001,2026-06-30,Shanghai Clearing House,投资控股,mtn,2026-06-30,泰州市兴化国有资产投资控股有限公司,泰州市兴化国有资产投资控股有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260630_1817135.html,1,0,,投资控股;资产投资,medium,0,0,pending,,,1,
sch_20260630_0002,2026-06-30,Shanghai Clearing House,国有资本投资,mtn,2026-06-25,晋江市国有资本投资运营有限责任公司,晋江市国有资本投资运营有限责任公司2026年度第一期中期票据发行材料,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814099.html,1,0,,国有资本投资,medium,0,0,pending,,,1,
sch_20260630_0003,2026-06-30,Shanghai Clearing House,投资控股,mtn,2026-06-25,江苏腾海投资控股集团有限公司,江苏腾海投资控股集团有限公司2026年度第一期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814115.html,1,0,,投资控股,medium,0,0,pending,,,1,
sch_20260630_0004,2026-06-30,Shanghai Clearing House,交通投资,mtn,2026-06-25,益阳市交通投资运营集团有限公司,益阳市交通投资运营集团有限公司2026年度第一期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814142.html,1,0,,交通投资,medium,0,0,pending,,,1,
sch_20260630_0005,2026-06-30,Shanghai Clearing House,投资控股,mtn,2026-06-24,建安投资控股集团有限公司,建安投资控股集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260624_1813338.html,1,0,,投资控股,medium,0,0,pending,,,1,
sch_20260630_0006,2026-06-30,Shanghai Clearing House,建设投资,mtn,2026-06-23,嘉善县高新科技园区建设投资有限公司,嘉善县高新科技园区建设投资有限公司2026年度第四期中期票据发行材料,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260623_1812460.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0007,2026-06-30,Shanghai Clearing House,开发建设投资;建设投资,mtn,2026-06-22,盐城市城南新区开发建设投资有限公司,盐城市城南新区开发建设投资有限公司2026年度第二期中期票据发行披露文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260622_1811617.html,1,0,,开发建设投资,high,0,0,pending,,,1,
sch_20260630_0008,2026-06-30,Shanghai Clearing House,建设投资;投资控股,mtn,2026-06-18,南京市交通建设投资控股(集团)有限责任公司,南京市交通建设投资控股(集团)有限责任公司2026年度第五期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260618_1809676.html,1,0,,投资控股,medium,0,0,pending,,,1,
sch_20260630_0009,2026-06-30,Shanghai Clearing House,产业投资,mtn,2026-06-18,上饶创新发展产业投资集团有限公司,上饶创新发展产业投资集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260618_1809650.html,1,0,,产业投资,medium,0,0,pending,,,1,
sch_20260630_0010,2026-06-30,Shanghai Clearing House,建设投资,mtn,2026-06-18,嘉善县高新科技园区建设投资有限公司,嘉善县高新科技园区建设投资有限公司2026年度第三期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260618_1809637.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0011,2026-06-30,Shanghai Clearing House,投资控股,mtn,2026-06-18,无锡市高新区创业投资控股集团有限公司,无锡市高新区创业投资控股集团有限公司2026年度第二期科技创新债券发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260618_1809664.html,1,0,,投资控股,medium,0,0,pending,,,1,
sch_20260630_0012,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,mtn,2026-06-17,宿州市城市建设投资集团(控股)有限公司,宿州市城市建设投资集团(控股)有限公司2026年度第三期中期票据发行披露文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260617_1808730.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0013,2026-06-30,Shanghai Clearing House,建设投资,mtn,2026-06-17,广东省铁路建设投资集团有限公司,广东省铁路建设投资集团有限公司2026年度第三期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260617_1808649.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0014,2026-06-30,Shanghai Clearing House,产业投资,mtn,2026-06-17,江苏武进绿色建筑产业投资有限公司,江苏武进绿色建筑产业投资有限公司2026年度第一期中期票据发行材料,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260617_1808632.html,1,0,,产业投资,medium,0,0,pending,,,1,
sch_20260630_0015,2026-06-30,Shanghai Clearing House,投资控股,scp,2026-06-30,嘉兴市嘉秀发展投资控股集团有限公司,嘉兴市嘉秀发展投资控股集团有限公司2026年度第三期超短期融资券发行材料,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260630_1817141.html,1,0,,投资控股,medium,0,0,pending,,,1,
sch_20260630_0016,2026-06-30,Shanghai Clearing House,投资控股,scp,2026-06-24,嘉兴市嘉秀发展投资控股集团有限公司,嘉兴市嘉秀发展投资控股集团有限公司2026年度第二期超短期融资券发行材料,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260624_1813347.html,1,0,,投资控股,medium,0,0,pending,,,1,
sch_20260630_0017,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,scp,2026-06-24,苏州市相城城市建设投资(集团)有限公司,苏州市相城城市建设投资(集团)有限公司2026年度第三期超短期融资券发行文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260624_1813321.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0018,2026-06-30,Shanghai Clearing House,交通投资,scp,2026-06-23,浙江省交通投资集团有限公司,浙江省交通投资集团有限公司2026年度第十期超短期融资券发行披露文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260623_1812507.html,1,0,,交通投资,medium,0,0,pending,,,1,
sch_20260630_0019,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,scp,2026-06-23,天津津南城市建设投资有限公司,天津津南城市建设投资有限公司2026年度第六期超短期融资券发行文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260623_1812483.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0020,2026-06-30,Shanghai Clearing House,交通投资,scp,2026-06-23,江西省交通投资集团有限责任公司,江西省交通投资集团有限责任公司2026年度第五期超短期融资券(浮息债券)发行文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260623_1812517.html,1,0,,交通投资,medium,0,0,pending,,,1,
sch_20260630_0021,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,scp,2026-06-22,六安城市建设投资有限公司,六安城市建设投资有限公司2026年度第三期超短期融资券发行披露文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260622_1811629.html,1,0,,城市建设投资,high,0,0,pending,,,1,
