candidate_id,harvest_date,source,search_terms,category,publish_date,issuer_name,announcement_title,announcement_type,instrument_type,source_url,is_issuance_packet,is_noise,noise_reason,lgfv_name_signal,candidate_priority,already_human_validated,already_in_master_pool,llm_label_status,llm_label,llm_confidence,needs_source_packet,notes
sch_20260630_0001,2026-06-30,Shanghai Clearing House,发展,mtn,2026-06-30,四川省乡村发展集团有限公司,四川省乡村发展集团有限公司2026年度第一期中期票据发行披露文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260630_1817276.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0002,2026-06-30,Shanghai Clearing House,产投,mtn,2026-06-30,泰州市兴化国有资产投资控股有限公司,泰州市兴化国有资产投资控股有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260630_1817135.html,1,0,,投资控股;资产投资,medium,0,0,pending,,,1,
sch_20260630_0003,2026-06-30,Shanghai Clearing House,控股集团,mtn,2026-06-30,珠海港控股集团有限公司,珠海港控股集团有限公司2026年度第四期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260630_1817249.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0004,2026-06-30,Shanghai Clearing House,投资集团,mtn,2026-06-30,厦门金圆投资集团有限公司,厦门金圆投资集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260630_1817130.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0005,2026-06-30,Shanghai Clearing House,投资集团,mtn,2026-06-29,河北顺德投资集团有限公司,河北顺德投资集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260629_1816393.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0006,2026-06-30,Shanghai Clearing House,控股集团,mtn,2026-06-29,济南高新控股集团有限公司,济南高新控股集团有限公司2026年度第四期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260629_1816208.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0007,2026-06-30,Shanghai Clearing House,发展,mtn,2026-06-29,苏州吴中国太发展有限公司,苏州吴中国太发展有限公司2026年度第三期中期票据发行材料,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260629_1816424.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0008,2026-06-30,Shanghai Clearing House,控股集团,mtn,2026-06-26,湖州莫干山国有资本控股集团有限公司,湖州莫干山国有资本控股集团有限公司2026年度第四期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260626_1815151.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0009,2026-06-30,Shanghai Clearing House,控股集团,mtn,2026-06-26,武汉光谷金融控股集团有限公司,武汉光谷金融控股集团有限公司2026年度第六期科技创新债券发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260626_1815115.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0010,2026-06-30,Shanghai Clearing House,发展,mtn,2026-06-26,淮安市国有联合投资发展集团有限公司,淮安市国有联合投资发展集团有限公司2026年度第四期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260626_1815013.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0011,2026-06-30,Shanghai Clearing House,开发区;发展,mtn,2026-06-25,吉安市井冈山开发区金庐陵经济发展有限公司,吉安市井冈山开发区金庐陵经济发展有限公司2025年度第一期中期票据发行文件补充说明及补...,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814315.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0012,2026-06-30,Shanghai Clearing House,交通;发展,mtn,2026-06-25,山东金曰交通发展集团有限公司,山东金曰交通发展集团有限公司2026年度第一期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814165.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0013,2026-06-30,Shanghai Clearing House,城投;发展,mtn,2026-06-25,嘉兴科技城投资发展集团有限公司,嘉兴科技城投资发展集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814128.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0014,2026-06-30,Shanghai Clearing House,投资集团,mtn,2026-06-25,河南航空港投资集团有限公司,河南航空港投资集团有限公司2026年度第三期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814122.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0015,2026-06-30,Shanghai Clearing House,开发区,mtn,2026-06-25,徐州经济技术开发区国有资产经营有限责任公司,徐州经济技术开发区国有资产经营有限责任公司2026年度第五期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814104.html,1,0,,,low,1,1,gold_standard,nominal_exit,medium,0,Promoted to human gold-standard nominal-exit case on 2026-07-02; Xuzhou development-zone case.
sch_20260630_0016,2026-06-30,Shanghai Clearing House,控股集团,mtn,2026-06-25,北京控股集团有限公司,北京控股集团有限公司2026年度第五期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814144.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0017,2026-06-30,Shanghai Clearing House,建设;发展,mtn,2026-06-25,浙江安吉国控建设发展集团有限公司,浙江安吉国控建设发展集团有限公司2026年度第一期中期票据发行材料,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814107.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0018,2026-06-30,Shanghai Clearing House,控股集团,mtn,2026-06-25,淮河能源控股集团有限责任公司,淮河能源控股集团有限责任公司2026年度第七期中期票据发行披露文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814124.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0019,2026-06-30,Shanghai Clearing House,控股集团,mtn,2026-06-25,江苏腾海投资控股集团有限公司,江苏腾海投资控股集团有限公司2026年度第一期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814115.html,1,0,,投资控股,medium,0,0,pending,,,1,
sch_20260630_0020,2026-06-30,Shanghai Clearing House,交通,mtn,2026-06-25,益阳市交通投资运营集团有限公司,益阳市交通投资运营集团有限公司2026年度第一期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814142.html,1,0,,交通投资,medium,0,0,pending,,,1,
sch_20260630_0021,2026-06-30,Shanghai Clearing House,投资集团,mtn,2026-06-25,泰兴市中兴国有资产经营投资集团有限公司,泰兴市中兴国有资产经营投资集团有限公司2026年度第八期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814108.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0022,2026-06-30,Shanghai Clearing House,发展,mtn,2026-06-25,无锡市国联发展(集团)有限公司,无锡市国联发展(集团)有限公司2026年度第一期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814098.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0023,2026-06-30,Shanghai Clearing House,投资集团,mtn,2026-06-24,甘肃能源化工投资集团有限公司,甘肃能源化工投资集团有限公司2026年度第一期中期票据(可持续挂钩/碳资产)发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260624_1813342.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0024,2026-06-30,Shanghai Clearing House,城市;发展,mtn,2026-06-24,长沙天心城市发展集团有限公司,长沙天心城市发展集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260624_1813355.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0025,2026-06-30,Shanghai Clearing House,投资集团,mtn,2026-06-24,知识城(广州)投资集团有限公司,知识城(广州)投资集团有限公司2026年度第六期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260624_1813306.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0026,2026-06-30,Shanghai Clearing House,投资集团,mtn,2026-06-24,广西投资集团金融控股有限公司,广西投资集团金融控股有限公司2026年度第三期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260624_1813326.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0027,2026-06-30,Shanghai Clearing House,控股集团,mtn,2026-06-24,建安投资控股集团有限公司,建安投资控股集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260624_1813338.html,1,0,,投资控股,medium,0,0,pending,,,1,
sch_20260630_0028,2026-06-30,Shanghai Clearing House,发展,mtn,2026-06-24,寿光市金旭产业发展集团有限公司,寿光市金旭产业发展集团有限公司2026年度第四期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260624_1813332.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0029,2026-06-30,Shanghai Clearing House,高新区,mtn,2026-06-23,江阴高新区投资开发有限公司,江阴高新区投资开发有限公司2026年度第一期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260623_1812466.html,1,0,,,low,1,1,gold_standard,nominal_exit,medium,0,Promoted to human gold-standard nominal-exit case on 2026-07-02; Jiangyin high-tech-zone case.
