candidate_id,harvest_date,source,search_terms,category,publish_date,issuer_name,announcement_title,announcement_type,instrument_type,source_url,is_issuance_packet,is_noise,noise_reason,lgfv_name_signal,candidate_priority,already_human_validated,already_in_master_pool,llm_label_status,llm_label,llm_confidence,needs_source_packet,notes
sch_20260630_0001,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,cp,2026-06-29,吉安市城市建设投资开发有限公司,吉安市城市建设投资开发有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260629_1816268.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0002,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,cp,2026-06-26,景德镇市城市建设投资集团有限责任公司,景德镇市城市建设投资集团有限责任公司2026年度第一期短期融资券发行材料,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260626_1815008.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0003,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,cp,2026-06-26,宿州市城市建设投资集团(控股)有限公司,宿州市城市建设投资集团(控股)有限公司2026年度第三期短期融资券发行披露文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260626_1815009.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0004,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,cp,2026-06-24,临沂城市建设投资集团有限公司,临沂城市建设投资集团有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260624_1813354.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0005,2026-06-30,Shanghai Clearing House,城市发展投资,cp,2026-06-24,黄石市城市发展投资集团有限公司,黄石市城市发展投资集团有限公司2026年度第八期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260624_1813323.html,1,0,,城市发展投资,high,0,0,pending,,,1,
sch_20260630_0006,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,cp,2026-06-22,天津津南城市建设投资有限公司,天津津南城市建设投资有限公司2026年度第三期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260622_1811647.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0007,2026-06-30,Shanghai Clearing House,基础设施投资;投资控股,cp,2026-06-18,晋中市公用基础设施投资控股(集团)有限公司,晋中市公用基础设施投资控股(集团)有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260618_1809985.html,1,0,,基础设施投资,high,0,0,pending,,,1,
sch_20260630_0008,2026-06-30,Shanghai Clearing House,城市发展投资,cp,2026-06-16,黄石市城市发展投资集团有限公司,黄石市城市发展投资集团有限公司2026年度第七期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260616_1807817.html,1,0,,城市发展投资,high,0,0,pending,,,1,
sch_20260630_0009,2026-06-30,Shanghai Clearing House,城市发展投资,cp,2026-06-15,黄石市城市发展投资集团有限公司,黄石市城市发展投资集团有限公司2026年度第六期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260615_1806981.html,1,0,,城市发展投资,high,0,0,pending,,,1,
sch_20260630_0010,2026-06-30,Shanghai Clearing House,建设投资,cp,2026-06-12,合肥北城建设投资(集团)有限公司,合肥北城建设投资(集团)有限公司2026年度第一期短期融资券发行披露文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260612_1806000.html,1,0,,,low,0,0,pending,,,1,
