candidate_id,harvest_date,source,search_terms,category,publish_date,issuer_name,announcement_title,announcement_type,instrument_type,source_url,is_issuance_packet,is_noise,noise_reason,lgfv_name_signal,candidate_priority,already_human_validated,already_in_master_pool,llm_label_status,llm_label,llm_confidence,needs_source_packet,notes
exp9_20260704_0035,2026-07-04,Shanghai Clearing House,发行文件,mtn,2026-07-01,如皋市经济贸易开发有限公司,如皋市经济贸易开发有限公司2026年度第一期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202607/t20260701_1817897.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0084,2026-07-04,Shanghai Clearing House,发行文件,mtn,2026-06-22,广州越秀集团股份有限公司,广州越秀集团股份有限公司2026年度第三期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260622_1811649.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0111,2026-07-04,Shanghai Clearing House,发行文件,cp,2026-06-12,漳州市九龙江集团有限公司,漳州市九龙江集团有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260612_1805879.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0127,2026-07-04,Shanghai Clearing House,发行文件,cp,2026-05-22,江苏省农垦集团有限公司,江苏省农垦集团有限公司2026年度第四期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260522_1792653.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0141,2026-07-04,Shanghai Clearing House,发行文件,cp,2026-04-23,江苏省国信集团有限公司,江苏省国信集团有限公司2026年度第五期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260423_1770162.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0152,2026-07-04,Shanghai Clearing House,发行文件,cp,2026-04-16,云南机场集团有限责任公司,云南机场集团有限责任公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260416_1764740.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0182,2026-07-04,Shanghai Clearing House,发行材料,cp,2026-03-19,北京市燃气集团有限责任公司,北京市燃气集团有限责任公司2026年度第一期短期融资券发行材料,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202603/t20260319_1747290.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0183,2026-07-04,Shanghai Clearing House,发行文件,scp,2026-07-03,上海静安置业(集团)有限公司,上海静安置业(集团)有限公司2026年度第一期超短期融资券发行文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202607/t20260703_1818987.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0193,2026-07-04,Shanghai Clearing House,发行文件,scp,2026-07-02,北京电子控股有限责任公司,北京电子控股有限责任公司2026年度第一期超短期融资券发行文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202607/t20260702_1818399.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0215,2026-07-04,Shanghai Clearing House,发行文件,scp,2026-06-30,江苏省广播电视集团有限公司,江苏省广播电视集团有限公司2026年度第五期超短期融资券发行文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260630_1817156.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0230,2026-07-04,Shanghai Clearing House,发行文件,scp,2026-06-25,无锡华光环保能源集团股份有限公司,无锡华光环保能源集团股份有限公司2026年度第十三期超短期融资券发行文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260625_1814123.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0247,2026-07-04,Shanghai Clearing House,发行文件,scp,2026-06-24,北京首都旅游集团有限责任公司,北京首都旅游集团有限责任公司2026年度第六期超短期融资券发行文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260624_1813330.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
exp9_20260704_0290,2026-07-04,Shanghai Clearing House,发行文件,scp,2026-06-22,厦门夏商集团有限公司,厦门夏商集团有限公司2026年度第十八期超短期融资券发行文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260622_1811583.html,1,0,,,low,0,0,pending,,,1,selected_for_surrogate_expansion_round9_edge_public_soe
