candidate_id,harvest_date,source,search_terms,category,publish_date,issuer_name,announcement_title,announcement_type,instrument_type,source_url,is_issuance_packet,is_noise,noise_reason,lgfv_name_signal,candidate_priority,already_human_validated,already_in_master_pool,llm_label_status,llm_label,llm_confidence,needs_source_packet,notes
exp_20260703_0001,2026-07-03,Shanghai Clearing House,城市投资;投资控股,mtn,2026-07-03,蚌埠市城市投资控股有限公司,蚌埠市城市投资控股有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202607/t20260703_1818943.html,1,0,,城市投资,high,0,0,pending,,,1,
exp_20260703_0002,2026-07-03,Shanghai Clearing House,交通投资,mtn,2026-07-02,广州交通投资集团有限公司,广州交通投资集团有限公司2026年度第六期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202607/t20260702_1818388.html,1,0,,交通投资,medium,0,0,pending,,,1,
exp_20260703_0003,2026-07-03,Shanghai Clearing House,交通投资,mtn,2026-07-02,河南交通投资集团有限公司,河南交通投资集团有限公司2026年度第三期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202607/t20260702_1818448.html,1,0,,交通投资,medium,0,0,pending,,,1,
exp_20260703_0004,2026-07-03,Shanghai Clearing House,产业投资,mtn,2026-07-01,成都产业投资集团有限公司,成都产业投资集团有限公司2026年度第二期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202607/t20260701_1817912.html,1,0,,产业投资,medium,0,0,pending,,,1,
exp_20260703_0005,2026-07-03,Shanghai Clearing House,国有资本投资,mtn,2026-07-01,天津国有资本投资运营有限公司,天津国有资本投资运营有限公司2026年度第四期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202607/t20260701_1817920.html,1,0,,国有资本投资,medium,0,0,pending,,,1,
exp_20260703_0006,2026-07-03,Shanghai Clearing House,开发区,mtn,2026-06-25,吉安市井冈山开发区金庐陵经济发展有限公司,吉安市井冈山开发区金庐陵经济发展有限公司2025年度第一期中期票据发行文件补充说明及补...,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814315.html,1,0,,,low,0,0,pending,,,1,
exp_20260703_0007,2026-07-03,Shanghai Clearing House,国有资本投资,mtn,2026-06-25,晋江市国有资本投资运营有限责任公司,晋江市国有资本投资运营有限责任公司2026年度第一期中期票据发行材料,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260625_1814099.html,1,0,,国有资本投资,medium,0,0,pending,,,1,
exp_20260703_0008,2026-07-03,Shanghai Clearing House,基础设施投资;投资控股,cp,2026-06-18,晋中市公用基础设施投资控股(集团)有限公司,晋中市公用基础设施投资控股(集团)有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260618_1809985.html,1,0,,基础设施投资,high,0,0,pending,,,1,
exp_20260703_0009,2026-07-03,Shanghai Clearing House,建设发展,cp,2026-06-18,重庆市永川区惠通建设发展有限公司,重庆市永川区惠通建设发展有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260618_1809933.html,1,0,,,low,0,0,pending,,,1,
exp_20260703_0010,2026-07-03,Shanghai Clearing House,建设发展,cp,2026-06-11,重庆市永川区惠通建设发展有限公司,重庆市永川区惠通建设发展有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260611_1805034.html,1,0,,,low,0,0,pending,,,1,
exp_20260703_0011,2026-07-03,Shanghai Clearing House,交通投资,cp,2026-06-08,广西交通投资集团有限公司,广西交通投资集团有限公司2026年度第六期短期融资券发行披露文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260608_1802524.html,1,0,,交通投资,medium,0,0,pending,,,1,
exp_20260703_0012,2026-07-03,Shanghai Clearing House,交通投资,cp,2026-05-27,广西交通投资集团有限公司,广西交通投资集团有限公司2026年度第五期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260527_1795493.html,1,0,,交通投资,medium,0,0,pending,,,1,
exp_20260703_0013,2026-07-03,Shanghai Clearing House,开发区,cp,2026-05-27,天津北辰经济技术开发区集团有限公司,天津北辰经济技术开发区集团有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260527_1795499.html,1,0,,,low,0,0,pending,,,1,
exp_20260703_0014,2026-07-03,Shanghai Clearing House,交通投资,cp,2026-04-29,广西交通投资集团有限公司,广西交通投资集团有限公司2026年度第四期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260429_1775446.html,1,0,,交通投资,medium,0,0,pending,,,1,
exp_20260703_0015,2026-07-03,Shanghai Clearing House,国有资本运营,cp,2026-04-20,北京市海淀区国有资本运营有限公司,北京市海淀区国有资本运营有限公司2026年度第三期短期融资券发行材料,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260420_1767335.html,1,0,,,low,0,0,pending,,,1,
exp_20260703_0016,2026-07-03,Shanghai Clearing House,国有资本运营,cp,2026-04-10,江西省国有资本运营控股集团有限公司,江西省国有资本运营控股集团有限公司2026年度第一期短期融资券发行文件披露,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260410_1760459.html,1,0,,,low,0,0,pending,,,1,
exp_20260703_0017,2026-07-03,Shanghai Clearing House,交通投资,cp,2026-04-08,广西交通投资集团有限公司,广西交通投资集团有限公司2026年度第三期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260408_1758939.html,1,0,,交通投资,medium,0,0,pending,,,1,
exp_20260703_0018,2026-07-03,Shanghai Clearing House,国有资本运营,cp,2026-04-07,北京市海淀区国有资本运营有限公司,北京市海淀区国有资本运营有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260407_1757986.html,1,0,,,low,0,0,pending,,,1,
exp_20260703_0019,2026-07-03,Shanghai Clearing House,基础设施投资;投资控股,cp,2026-04-01,晋中市公用基础设施投资控股(集团)有限公司,晋中市公用基础设施投资控股(集团)有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260401_1755571.html,1,0,,基础设施投资,high,0,0,pending,,,1,
exp_20260703_0020,2026-07-03,Shanghai Clearing House,交通投资,cp,2026-03-20,广西交通投资集团有限公司,广西交通投资集团有限公司2026年度第二期短期融资券发行披露文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202603/t20260320_1748334.html,1,0,,交通投资,medium,0,0,pending,,,1,
