GID_2,NAME_1,NL_NAME_1,NAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,area_sqkm_approx
CHN.1.1_1,Anhui,安徽|安徽,Anqing,安庆市,Dìjíshì,PrefectureCity,15412.616
CHN.1.2_1,Anhui,安徽|安徽,Bengbu,蚌埠市,Dìjíshì,PrefectureCity,5904.204
CHN.1.3_1,Anhui,安徽|安徽,Bozhou,亳州市,Dìjíshì,PrefectureCity,8593.298
CHN.1.4_1,Anhui,安徽|安徽,Chaohu,巢湖市,Dìjíshì,PrefectureCity,9437.440
CHN.1.5_1,Anhui,安徽|安徽,Chizhou,池州市,Dìjíshì,PrefectureCity,8480.823
CHN.1.6_1,Anhui,安徽|安徽,Chuzhou,滁州市,Dìjíshì,PrefectureCity,13572.789
CHN.1.7_1,Anhui,安徽|安徽,Fuyang,阜阳市,Dìjíshì,PrefectureCity,10101.885
CHN.1.8_1,Anhui,安徽|安徽,Hefei,合肥市,Dìjíshì,PrefectureCity,7486.590
CHN.1.9_1,Anhui,安徽|安徽,Huaibei,淮北市,Dìjíshì,PrefectureCity,2692.892
CHN.1.10_1,Anhui,安徽|安徽,Huainan,淮南市,Dìjíshì,PrefectureCity,2125.490
CHN.1.11_1,Anhui,安徽|安徽,Huangshan,黄山市,Dìjíshì,PrefectureCity,9746.783
CHN.1.12_1,Anhui,安徽|安徽,Lu'an,六安市,Dìjíshì,PrefectureCity,18410.074
CHN.1.13_1,Anhui,安徽|安徽,Ma'anshan,马鞍山市,Dìjíshì,PrefectureCity,1789.053
CHN.1.14_1,Anhui,安徽|安徽,Suzhou,宿州市,Dìjíshì,PrefectureCity,9997.303
CHN.1.15_1,Anhui,安徽|安徽,Tongling,铜陵市,Dìjíshì,PrefectureCity,1036.364
CHN.1.16_1,Anhui,安徽|安徽,Wuhu,芜湖市,Dìjíshì,PrefectureCity,3299.002
CHN.1.17_1,Anhui,安徽|安徽,Xuancheng,宣城市,Dìjíshì,PrefectureCity,12303.450
CHN.2.1_1,Beijing,北京|北京,Beijing,北京|北京,Zhíxiáshì,Municipality,16375.931
CHN.3.1_1,Chongqing,重慶|重庆,Chongqing,重慶|重庆,Zhíxiáshì,Municipality,82683.170
CHN.4.1_1,Fujian,福建,Fuzhou,福州市,Dìjíshì,PrefectureCity,11661.824
CHN.4.2_1,Fujian,福建,Longyan,龙岩市,Dìjíshì,PrefectureCity,19159.368
CHN.4.3_1,Fujian,福建,Nanping,南平市,Dìjíshì,PrefectureCity,26377.430
CHN.4.4_1,Fujian,福建,Ningde,宁德市,Dìjíshì,PrefectureCity,13251.545
CHN.4.5_1,Fujian,福建,Putian,莆田市,Dìjíshì,PrefectureCity,3910.725
CHN.4.6_1,Fujian,福建,Quanzhou,泉州市,Dìjíshì,PrefectureCity,10963.738
CHN.4.7_1,Fujian,福建,Sanming,三明市,Dìjíshì,PrefectureCity,23007.342
CHN.4.8_1,Fujian,福建,Xiamen,厦门市,Dìjíshì,PrefectureCity,1536.094
CHN.4.9_1,Fujian,福建,Zhangzhou,漳州市,Dìjíshì,PrefectureCity,12569.238
CHN.5.1_1,Gansu,甘肅|甘肃,Baiyin,白银市,Dìjíshì,PrefectureCity,20130.227
CHN.5.2_1,Gansu,甘肅|甘肃,Dingxi,定西市,Dìjíshì,PrefectureCity,19699.595
CHN.5.3_1,Gansu,甘肅|甘肃,GannanTibetan,甘南藏族自治州,Zìzhìzhou,AutonomousPrefecture,36588.906
CHN.5.4_1,Gansu,甘肅|甘肃,Jiayuguan,嘉峪关市,Dìjíshì,PrefectureCity,1298.645
CHN.5.5_1,Gansu,甘肅|甘肃,Jinchang,金昌市,Dìjíshì,PrefectureCity,7359.015
CHN.5.6_1,Gansu,甘肅|甘肃,Jiuquan,酒泉市,Dìjíshì,PrefectureCity,146922.437
CHN.5.7_1,Gansu,甘肅|甘肃,Lanzhou,兰州市,Dìjíshì,PrefectureCity,13265.927
CHN.5.8_1,Gansu,甘肅|甘肃,LinxiaHui,临夏回族自治州,Zìzhìzhou,AutonomousPrefecture,8081.422
CHN.5.9_1,Gansu,甘肅|甘肃,Longnan,陇南市,Dìjíshì,PrefectureCity,28464.318
CHN.5.10_1,Gansu,甘肅|甘肃,Pingliang,平凉市,Dìjíshì,PrefectureCity,11068.044
CHN.5.11_1,Gansu,甘肅|甘肃,Qingyang,庆阳市,Dìjíshì,PrefectureCity,27132.778
CHN.5.12_1,Gansu,甘肅|甘肃,Tianshui,天水市,Dìjíshì,PrefectureCity,14226.599
CHN.5.13_1,Gansu,甘肅|甘肃,Wuwei,武威市,Dìjíshì,PrefectureCity,32855.767
CHN.5.14_1,Gansu,甘肅|甘肃,Zhangye,张掖市,Dìjíshì,PrefectureCity,39659.993
CHN.6.1_1,Guangdong,廣東|广东,Chaozhou,潮州市,Dìjíshì,PrefectureCity,3214.128
CHN.6.2_1,Guangdong,廣東|广东,Dongguan,东莞市,Dìjíshì,PrefectureCity,2425.335
CHN.6.3_1,Guangdong,廣東|广东,Foshan,佛山市,Dìjíshì,PrefectureCity,3892.144
CHN.6.4_1,Guangdong,廣東|广东,Guangzhou,广州市,Dìjíshì,PrefectureCity,7156.715
CHN.6.5_1,Guangdong,廣東|广东,Heyuan,河源市,Dìjíshì,PrefectureCity,15662.850
CHN.6.6_1,Guangdong,廣東|广东,Huizhou,惠州市,Dìjíshì,PrefectureCity,11355.653
CHN.6.7_1,Guangdong,廣東|广东,Jiangmen,江门市,Dìjíshì,PrefectureCity,9447.076
CHN.6.8_1,Guangdong,廣東|广东,Jieyang,揭阳市,Dìjíshì,PrefectureCity,5236.864
CHN.6.9_1,Guangdong,廣東|广东,Maoming,茂名市,Dìjíshì,PrefectureCity,11416.772
CHN.6.10_1,Guangdong,廣東|广东,Meizhou,梅州市,Dìjíshì,PrefectureCity,15849.869
CHN.6.11_1,Guangdong,廣東|广东,Qingyuan,清远市,Dìjíshì,PrefectureCity,18952.057
CHN.6.12_1,Guangdong,廣東|广东,Shantou,汕头市,Dìjíshì,PrefectureCity,2067.016
CHN.6.13_1,Guangdong,廣東|广东,Shanwei,汕尾市,Dìjíshì,PrefectureCity,4875.309
CHN.6.14_1,Guangdong,廣東|广东,Shaoguan,韶关市,Dìjíshì,PrefectureCity,18430.399
CHN.6.15_1,Guangdong,廣東|广东,Shenzhen,深圳市,Dìjíshì,PrefectureCity,1921.959
CHN.6.16_1,Guangdong,廣東|广东,Yangjiang,阳江市,Dìjíshì,PrefectureCity,7846.864
CHN.6.17_1,Guangdong,廣東|广东,Yunfu,云浮市,Dìjíshì,PrefectureCity,7807.964
CHN.6.18_1,Guangdong,廣東|广东,Zhanjiang,湛江市,Dìjíshì,PrefectureCity,12605.675
CHN.6.19_1,Guangdong,廣東|广东,Zhaoqing,肇庆市,Dìjíshì,PrefectureCity,14896.605
CHN.6.20_1,Guangdong,廣東|广东,Zhongshan,中山市,Dìjíshì,PrefectureCity,1739.190
CHN.6.21_1,Guangdong,廣東|广东,Zhuhai,珠海市,Dìjíshì,PrefectureCity,1597.646
CHN.7.1_1,Guangxi,廣西壯族自治區|广西壮族自治区,Baise,百色市,Dìjíshì,PrefectureCity,36379.274
