claim_id,manuscript_path,line,reported_text,reported_value,generated_value,display_decimals,difference,status,source_path,source_locator
validated_gold_rows,paper/sections/empirical_strategy.tex,25,ninety-four,94,94,0,0.000,match,data/analysis_inputs/empirical_case_panel_coverage.csv,"component=Gold-standard labels, column=available"
initial_candidate_disclosures,paper/sections/empirical_strategy.tex,31,361,361,361,0,0.000,match,data/analysis_inputs/surrogate_empirical_flow.csv,"step=Candidate disclosure rows, column=count"
historically_matched_rows,paper/sections/empirical_strategy.tex,37,Eighty-four,84,84,0,0.000,match,data/analysis_inputs/empirical_case_panel_coverage.csv,"component=Historical capacity match, column=available"
historically_unmatched_rows,paper/sections/empirical_strategy.tex,38,Ten,10,10,0,0.000,match,data/analysis_inputs/empirical_case_panel_coverage.csv,Gold-standard labels available minus Historical capacity match available
gold_substantive_exits,paper/sections/empirical_strategy.tex,47,two,2,2,0,0.000,match,data/analysis_inputs/pilot_exit_type_distribution.csv,"validation_tier=human_validated, column=substantive_exit"
gold_nominal_exits,paper/sections/empirical_strategy.tex,47,eighty-two,82,82,0,0.000,match,data/analysis_inputs/pilot_exit_type_distribution.csv,"validation_tier=human_validated, column=nominal_exit"
gold_functional_transfers,paper/sections/empirical_strategy.tex,47,ten,10,10,0,0.000,match,data/analysis_inputs/pilot_exit_type_distribution.csv,"validation_tier=human_validated, column=functional_transfer"
elite_density_effect_pp,paper/sections/empirical_strategy.tex,146,6.3,6.3,6.6,1,-0.300,mismatch,data/analysis_inputs/pilot_lpm_institutional_change.csv,"model=Elite density, variable=Elite density standardized, coefficient times 100"
high_capacity_effect_pp,paper/sections/empirical_strategy.tex,148,17.1,17.1,16.1,1,1.000,mismatch,data/analysis_inputs/pilot_lpm_institutional_change.csv,"model=High capacity, variable=High historical-capacity bin, coefficient times 100"
capacity_rank_effect_pp,paper/sections/empirical_strategy.tex,150,13.5,13.5,12.5,1,1.000,mismatch,data/analysis_inputs/pilot_lpm_institutional_change.csv,"model=Capacity rank, variable=Capacity bin rank, coefficient times 100"
full_control_rows,paper/sections/empirical_strategy.tex,230,seventy-eight,78,78,0,0.000,match,data/analysis_inputs/empirical_case_panel_coverage.csv,"component=Full-controls regression rows, column=available"
screening_candidate_rows,paper/sections/empirical_strategy.tex,286,361,361,361,0,0.000,match,data/analysis_inputs/surrogate_empirical_flow.csv,"step=Candidate disclosure rows, column=count"
usable_screening_rows,paper/sections/empirical_strategy.tex,286,346,346,346,0,0.000,match,data/analysis_inputs/surrogate_empirical_flow.csv,"step=Usable LLM screening rows, column=count"
screening_gold_rows,paper/sections/empirical_strategy.tex,289,ninety-four,94,94,0,0.000,match,data/analysis_inputs/empirical_case_panel_coverage.csv,"component=Gold-standard labels, column=available"
surrogate_disclosure_rows,paper/sections/empirical_strategy.tex,289,203,203,203,0,0.000,match,data/analysis_inputs/surrogate_empirical_flow.csv,"step=LLM surrogate disclosure labels, column=count"
no_formal_event_rows,paper/sections/empirical_strategy.tex,290,forty-four,44,44,0,0.000,match,data/analysis_inputs/surrogate_empirical_flow.csv,"step=Screened rows without direct formal event, column=count"
boundary_packet_rows,paper/sections/empirical_strategy.tex,292,five,5,5,0,0.000,match,data/analysis_inputs/llm_screening_summary_2026_07_03_expanded.csv,"quantity=screening_status:human_reviewed_boundary, column=value"
surrogate_disclosures_repeated,paper/sections/empirical_strategy.tex,302,203,203,203,0,0.000,match,data/analysis_inputs/surrogate_empirical_flow.csv,"step=LLM surrogate disclosure labels, column=count"
surrogate_unique_issuers,paper/sections/empirical_strategy.tex,303,158,158,158,0,0.000,match,data/analysis_inputs/dsl_surrogate_diagnostics.csv,"quantity=surrogate_unique_issuers, column=value"
surrogate_overlap_issuers,paper/sections/empirical_strategy.tex,306,Sixty-one,61,61,0,0.000,match,data/analysis_inputs/dsl_surrogate_diagnostics.csv,"quantity=surrogate_gold_overlap_issuers, column=value"
surrogate_nonoverlap_issuers,paper/sections/empirical_strategy.tex,308,Ninety-seven,97,97,0,0.000,match,data/analysis_inputs/dsl_surrogate_diagnostics.csv,"quantity=nonoverlap_surrogate_issuers, column=value"
raw_nominal_precision,paper/sections/empirical_strategy.tex,315,1.000,1.000,1.000,3,0.000,match,data/analysis_inputs/dsl_surrogate_diagnostics.csv,"quantity=raw_nominal_precision, column=value"
jeffreys_nominal_precision,paper/sections/empirical_strategy.tex,316,0.992.,0.992,0.992,3,0.000,match,data/analysis_inputs/dsl_surrogate_diagnostics.csv,"quantity=jeffreys_smoothed_nominal_precision, column=value"
wilson_nominal_precision,paper/sections/empirical_strategy.tex,317,0.941.,0.941,0.941,3,0.000,match,data/analysis_inputs/dsl_surrogate_diagnostics.csv,"quantity=wilson_95_lower_nominal_precision, column=value"
conservative_expected_nominal_nonoverlap,paper/sections/empirical_strategy.tex,319,91.25,91.25,91.25,2,0.000,match,data/analysis_inputs/dsl_augmented_outcome_distribution.csv,conservative nominal_exit minus human_gold_nominal_exit
smoothed_expected_nominal_nonoverlap,paper/sections/empirical_strategy.tex,319,96.22,96.22,96.22,2,0.000,match,data/analysis_inputs/dsl_augmented_outcome_distribution.csv,smoothed nominal_exit minus human_gold_nominal_exit
adjusted_gold_rows,paper/sections/empirical_strategy.tex,328,ninety-four,94,94,0,0.000,match,data/analysis_inputs/dsl_surrogate_diagnostics.csv,"quantity=human_gold_labels, column=value"
adjusted_gold_nominal,paper/sections/empirical_strategy.tex,328,eighty-two,82,82,0,0.000,match,data/analysis_inputs/dsl_surrogate_diagnostics.csv,"quantity=human_gold_nominal_exit, column=value"
adjusted_gold_change,paper/sections/empirical_strategy.tex,329,twelve,12,12,0,0.000,match,data/analysis_inputs/dsl_surrogate_diagnostics.csv,"quantity=human_gold_institutional_change, column=value"
adjusted_nonoverlap_rows,paper/sections/empirical_strategy.tex,330,ninety-seven,97,97,0,0.000,match,data/analysis_inputs/dsl_surrogate_diagnostics.csv,"quantity=nonoverlap_surrogate_issuers, column=value"
adjusted_sample_rows,paper/sections/empirical_strategy.tex,331,191,191,191,0,0.000,match,data/analysis_inputs/dsl_augmented_outcome_distribution.csv,"sample=Gold plus non-overlap surrogates smoothed, column=observations"
adjusted_smoothed_nominal,paper/sections/empirical_strategy.tex,332,178.22,178.22,178.22,2,0.000,match,data/analysis_inputs/dsl_augmented_outcome_distribution.csv,"sample=Gold plus non-overlap surrogates smoothed, column=nominal_exit"
adjusted_conservative_nominal,paper/sections/empirical_strategy.tex,333,173.25,173.25,173.25,2,0.000,match,data/analysis_inputs/dsl_augmented_outcome_distribution.csv,"sample=Gold plus non-overlap surrogates conservative, column=nominal_exit"
