specification,omitted_panel_id,omitted_case_id,omitted_city,omitted_outcome,full_sample_elite_effect,leave_one_out_elite_effect,delta,absolute_delta,sign_changed,scaling_rule
matched_gold_historical_only,gold_0001,pilot_sn_xian_hightech,Xian,0,0.06637998,0.06581451,-0.00056547,0.00056547,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0002,pilot_gd_001,Guangzhou,1,0.06637998,0.05640323,-0.00997675,0.00997675,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0003,pilot_zj_001,Hangzhou,1,0.06637998,0.06090555,-0.00547443,0.00547443,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0004,pilot_sc_001,Chengdu,0,0.06637998,0.06611940,-0.00026058,0.00026058,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0005,pilot_hn_002,Zhuzhou,0,0.06637998,0.06550635,-0.00087363,0.00087363,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0006,pilot_zj_002,Ningbo,1,0.06637998,0.05772220,-0.00865778,0.00865778,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0007,pilot_zj_003,Wenzhou,1,0.06637998,0.07292105,0.00654106,0.00654106,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0008,pilot_js_004,Xuzhou,0,0.06637998,0.06549104,-0.00088894,0.00088894,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0009,pilot_hn_004,Hengyang,0,0.06637998,0.06555317,-0.00082681,0.00082681,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0010,pilot_sd_001,Jinan,0,0.06637998,0.06669037,0.00031039,0.00031039,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0011,pilot_js_003,Yancheng,0,0.06637998,0.06547868,-0.00090130,0.00090130,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0012,pilot_gd_003,Foshan,1,0.06637998,0.06607603,-0.00030395,0.00030395,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0013,pilot_js_002,Suzhou,0,0.06637998,0.07301599,0.00663601,0.00663601,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0014,pilot_sd_002,Qingdao,0,0.06637998,0.06555062,-0.00082936,0.00082936,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0015,pilot_sc_003,Luzhou,0,0.06637998,0.06551620,-0.00086379,0.00086379,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0016,expand_sd_jinan_chengjian,Jinan,0,0.06637998,0.06669037,0.00031039,0.00031039,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0017,expand_fj_fuzhou_chengtou,Fuzhou,1,0.06637998,0.05595469,-0.01042529,0.01042529,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0019,expand_zj_yuyao_chengtou,Yuyao,0,0.06637998,0.06856220,0.00218222,0.00218222,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0020,expand_js_taizhou_jindong,Taizhou,1,0.06637998,0.07092578,0.00454580,0.00454580,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0021,expand_hlj_harbin_chengtou,Harbin,0,0.06637998,0.06547125,-0.00090873,0.00090873,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0022,expand_hb_xiaogan_chengtou,Xiaogan,1,0.06637998,0.07135202,0.00497203,0.00497203,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0023,expand_tj_jinghai_chengtou,Jinghai,0,0.06637998,0.06608237,-0.00029762,0.00029762,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0024,expand_jx_zhanggong_jiantou,Ganzhou Zhanggong,0,0.06637998,0.06551213,-0.00086785,0.00086785,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0025,expand_zj_wenling_guotou,Wenling,1,0.06637998,0.07224760,0.00586762,0.00586762,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0026,expand_js_yixing_chengfa,Yixing,1,0.06637998,0.05684259,-0.00953739,0.00953739,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0027,expand_fj_fuzhou_guozi,Fuzhou,1,0.06637998,0.05595469,-0.01042529,0.01042529,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0028,expand_js_zhenjiang_industry,Zhenjiang,0,0.06637998,0.06701230,0.00063232,0.00063232,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0029,expand_js_jiangning_guozi,Nanjing Jiangning,0,0.06637998,0.06644465,0.00006466,0.00006466,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0030,expand_js_changshu_invest,Changshu,1,0.06637998,0.04847717,-0.01790281,0.01790281,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0031,expand_ah_suzhou_chengtou,Suzhou,0,0.06637998,0.06549619,-0.00088379,0.00088379,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0032,expand_hb_huangshi_chengfa,Huangshi,0,0.06637998,0.06555773,-0.00082226,0.00082226,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0033,expand_js_yancheng_chengnan,Yancheng,0,0.06637998,0.06547868,-0.00090130,0.00090130,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0034,expand_js_suzhou_xiangcheng,Suzhou Xiangcheng,0,0.06637998,0.07301599,0.00663601,0.00663601,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0035,expand_sd_linyi_chengtou,Linyi,0,0.06637998,0.06552151,-0.00085848,0.00085848,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0036,expand_jx_jian_chengtou,Ji'an,0,0.06637998,0.06589994,-0.00048004,0.00048004,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0037,expand_hen_luoyang_chengxiang,Luoyang,0,0.06637998,0.06557380,-0.00080619,0.00080619,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0038,expand_js_zhangjiagang_chengtou,Zhangjiagang,0,0.06637998,0.07301599,0.00663601,0.00663601,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0039,expand_tj_jinnan_chengtou,Tianjin Jinnan,0,0.06637998,0.06608237,-0.00029762,0.00029762,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0040,expand_ah_luan_chengtou,Lu'an,0,0.06637998,0.06550395,-0.00087603,0.00087603,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0041,expand_js_taizhou_chengtou,Taizhou,0,0.06637998,0.06578954,-0.00059044,0.00059044,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0042,expand_jx_jingdezhen_chengtou,Jingdezhen,0,0.06637998,0.06567268,-0.00070730,0.00070730,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0043,expand_hb_jingmen_chengtou,Jingmen,0,0.06637998,0.06555101,-0.00082897,0.00082897,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0044,expand_jx_shangrao_chengtou,Shangrao,0,0.06637998,0.06575146,-0.00062853,0.00062853,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0045,expand_js_huaian_touzi,Huai'an,0,0.06637998,0.06562575,-0.00075423,0.00075423,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0046,expand_hn_yiyang_jiaotou,Yiyang,0,0.06637998,0.06549521,-0.00088477,0.00088477,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0047,expand_js_xinghua_guotou,Xinghua,0,0.06637998,0.06578954,-0.00059044,0.00059044,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0048,expand_sc_leshan_guozi,Leshan,0,0.06637998,0.06549391,-0.00088607,0.00088607,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0049,expand_sd_dezhou_deda,Dezhou,0,0.06637998,0.06568571,-0.00069427,0.00069427,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0050,expand_jx_fuzhou_guozi,Fuzhou,0,0.06637998,0.06596291,-0.00041707,0.00041707,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0051,sch_20260630_0155,Kunming,0,0.06637998,0.06556550,-0.00081449,0.00081449,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0053,sch_20260630_0027,Bozhou,0,0.06637998,0.06547910,-0.00090088,0.00090088,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0054,sch_20260630_0055,Shangrao,0,0.06637998,0.06575146,-0.00062853,0.00062853,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0055,sch_20260630_0151,Shijiazhuang,0,0.06637998,0.06559183,-0.00078816,0.00078816,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0056,sch_20260630_0052,Nanjing,0,0.06637998,0.06644465,0.00006466,0.00006466,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0057,sch_20260630_0019,Haian,0,0.06637998,0.06549918,-0.00088081,0.00088081,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0058,sch_20260630_0142,Gaochun,0,0.06637998,0.06644465,0.00006466,0.00006466,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0059,sch_20260630_0068,Jiaxing,0,0.06637998,0.08249685,0.01611686,0.01611686,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0060,expand_gx_nanning_chengtou,Nanning,0,0.06637998,0.06548374,-0.00089624,0.00089624,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0061,pilot_gd_001_alt_metro,Guangzhou,0,0.06637998,0.06904481,0.00266482,0.00266482,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0062,pilot_js_001_alt_metro,Nanjing,0,0.06637998,0.06644465,0.00006466,0.00006466,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0064,sch_20260630_0015,Xuzhou,0,0.06637998,0.06549104,-0.00088894,0.00088894,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0067,sch_20260630_0051,Beijing,0,0.06637998,0.06707689,0.00069690,0.00069690,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0069,sch_20260630_0005,Xingtai,0,0.06637998,0.06558607,-0.00079391,0.00079391,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0070,sch_20260630_0048,Changzhou,0,0.06637998,0.07300594,0.00662595,0.00662595,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0071,sch_20260630_0046,Xuzhou,0,0.06637998,0.06549104,-0.00088894,0.00088894,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0072,sch_20260630_0014,Zhengzhou,0,0.06637998,0.06562331,-0.00075667,0.00075667,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0075,sch_20260630_0006,Jinan,0,0.06637998,0.06669037,0.00031039,0.00031039,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0076,sch_20260630_0007,Suzhou,0,0.06637998,0.07301599,0.00663601,0.00663601,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0077,sch_20260630_0032,Bozhou,0,0.06637998,0.06547910,-0.00090088,0.00090088,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0078,sch_20260630_0057,Changzhou,0,0.06637998,0.07300594,0.00662595,0.00662595,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0079,sch_20260630_0033,Shaoxing,0,0.06637998,0.06831445,0.00193447,0.00193447,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0080,sch_20260630_0054,Huangshi,0,0.06637998,0.06555773,-0.00082226,0.00082226,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0083,sch_20260630_0013,Jiaxing,0,0.06637998,0.08249685,0.01611686,0.01611686,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0084,sch_20260630_0025,Guangzhou,0,0.06637998,0.06904481,0.00266482,0.00266482,False,full-sample standardization retained after deletion
