source_id,original_or_authoritative_text_url,version_checked,verification_note
LTH-LGFV-01,https://www.mdpi.com/2079-8954/10/3/65,publisher_open_access,"Publisher PDF opened; local verification checksum ecd28801a1cae7e0153004008bc813404b928571ca787865b88a47cba9d3a856."
LTH-LGFV-02,https://jjxj.swufe.edu.cn/CN/PDF/5294,publisher_pdf,"Publisher PDF opened; local verification checksum cb5cf4ac766a74288b942946cb3a92dcfb7be8c15ec676e217efa0cf800a1dcc."
LTH-LGFV-03,https://www.jcejournal.com.cn/CN/abstract/abstract210.shtml,publisher_article_and_pdf,"Publisher article PDF opened; local verification checksum eacf77eeb26cacaf39cfb152e4a13bfde8b4df379ae1c8fc3063155c3576391f."
LTH-LGFV-04,http://www.jryj.org.cn/CN/abstract/abstract1303.shtml,publisher_article_and_pdf,"Publisher PDF opened; local verification checksum 6931a591ce8542cb9f904710ad27fd9c8c14efce25090e33db94f088136b9700."
LTH-DEBT-01,https://www.imf.org/-/media/files/publications/wp/2016/wp16187.pdf,official_institutional_pdf,"Official IMF paper opened."
LTH-DEBT-02,https://www.journals.uchicago.edu/doi/10.1086/717256,publisher_full_text,"Publisher full text opened."
LTH-DEBT-03,https://www.mof.gov.cn/zhengwuxinxi/caizhengxinwen/202411/t20241109_3947230.htm,official_government_transcript,"Official Ministry of Finance transcript opened."
LTH-CAP-01,https://www.imf.org/-/media/files/publications/wp/2018/wp1888.pdf,official_institutional_pdf,"Official IMF paper opened."
LTH-CAP-02,https://zhiguohe.net/wp-content/uploads/2023/12/Chen-He-Liu_2020-JFE.pdf,author_version_of_record,"Author-hosted published paper opened; publisher metadata checked through DOI."
LTH-CAP-03,https://web.stanford.edu/~xgzhou/zhou_mc10.pdf,author_published_pdf,"Author-hosted paper opened; publisher metadata checked through DOI."
LTH-CAP-04,https://discovery.ucl.ac.uk/id/eprint/10101229/1/1-s2.0-S0264837719313730-main.pdf,institutional_repository_version_of_record,"Open-access publisher PDF in UCL repository opened."
LTH-CAP-05,https://english.phbs.pku.edu.cn/__local/B/75/80/618D79DD791BCDD849787734F01_BAEFDBEE_6BA44.pdf?e=.pdf,institutional_working_paper,"Institutional manuscript opened; publisher metadata checked through DOI."
LTH-CAP-06,https://chichengma.weebly.com/uploads/9/4/2/0/9420741/keju_draft_201904.pdf,author_manuscript,"Author manuscript opened; final publisher metadata checked through DOI."
LTH-COMP-01,https://www.patriciabromley.com/wp-content/uploads/2018/06/BromleyPowellDecoupling.pdf,author_publisher_pdf,"Author-hosted publisher PDF opened; DOI metadata checked."
LTH-COMP-02,https://pure.eur.nl/files/56048541/De_and_Recoupling_and_Public.pdf,institutional_repository_publisher_pdf,"Publisher PDF in Erasmus repository opened; DOI metadata checked."
LTH-COMP-03,https://www.hbs.edu/ris/Publication%20Files/Short%20Toffel%202010%20ASQ_f939716c-8ee6-4923-86fb-31add74cd56a.pdf,author_manuscript,"HBS author manuscript opened; final metadata checked through DOI."
LTH-COMP-04,https://www.research-collection.ethz.ch/bitstreams/58bc9d6d-7b18-4f5a-a329-ce92be57dfea/download,institutional_dissertation_reprint,"Full published paper embedded in an ETH dissertation was opened; final metadata checked through DOI."
LTH-COMP-05,https://www.researchgate.net/publication/276890691_Is_Decoupling_Becoming_Decoupled_from_Institutional_Theory_A_Commentary_on_Wijen,author_uploaded_manuscript,"Author-uploaded manuscript opened; final metadata checked through DOI."
LTH-TEXT-01,https://web.stanford.edu/~jgrimmer/tad2.pdf,author_published_pdf,"Author-hosted published PDF opened; official metadata checked."
LTH-TEXT-02,https://proceedings.neurips.cc/paper_files/paper/2023/file/d862f7f5445255090de13b825b880d59-Paper-Conference.pdf,official_proceedings_pdf,"Official NeurIPS PDF opened."
LTH-TEXT-03,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7B323A0E47F782F2698A0AE849EA00DE/S104719872510017Xa.pdf/div-class-title-codebook-llms-evaluating-llms-as-measurement-tools-for-political-science-concepts-div.pdf,publisher_pdf,"Official Cambridge PDF opened."
LTH-TEXT-04,https://dcknox.github.io/files/KnoxLucasCho_CausalTheoriesLearnedProxies.pdf,author_published_pdf,"Author-hosted published PDF opened; DOI metadata checked."
LTH-TEXT-05,https://arxiv.org/html/2307.06483,accepted_manuscript,"Accepted full text opened; publisher metadata checked through DOI."
LTH-TEXT-06,https://pmc.ncbi.nlm.nih.gov/articles/PMC10372638/,official_repository_full_text,"Official PMC full text opened; PNAS metadata checked through DOI."
