model_id,influence_rank,omitted_panel_id,omitted_case_id,omitted_province,omitted_city,omitted_exit_type,omitted_outcome,full_sample_elite_effect,leave_one_out_elite_effect,delta,absolute_delta,sign_changed,ranking_rule
matched_gold_historical_lpm,1,gold_0030,expand_js_changshu_invest,Jiangsu,Changshu,functional_transfer,1,0.06637998,0.04847717,-0.01790281,0.01790281,False,descending absolute change in preregistered elite-density effect
matched_gold_historical_lpm,2,gold_0059,sch_20260630_0068,Zhejiang,Jiaxing,nominal_exit,0,0.06637998,0.08249685,0.01611686,0.01611686,False,descending absolute change in preregistered elite-density effect
matched_gold_historical_lpm,3,gold_0083,sch_20260630_0013,Zhejiang,Jiaxing,nominal_exit,0,0.06637998,0.08249685,0.01611686,0.01611686,False,descending absolute change in preregistered elite-density effect
matched_gold_historical_lpm,4,gold_0017,expand_fj_fuzhou_chengtou,Fujian,Fuzhou,functional_transfer,1,0.06637998,0.05595469,-0.01042529,0.01042529,False,descending absolute change in preregistered elite-density effect
matched_gold_historical_lpm,5,gold_0027,expand_fj_fuzhou_guozi,Fujian,Fuzhou,functional_transfer,1,0.06637998,0.05595469,-0.01042529,0.01042529,False,descending absolute change in preregistered elite-density effect
matched_gold_historical_firth,1,gold_0030,expand_js_changshu_invest,Jiangsu,Changshu,functional_transfer,1,0.05554090,0.04336109,-0.01217981,0.01217981,False,descending absolute change in preregistered elite-density effect
matched_gold_historical_firth,2,gold_0059,sch_20260630_0068,Zhejiang,Jiaxing,nominal_exit,0,0.05554090,0.06712915,0.01158825,0.01158825,False,descending absolute change in preregistered elite-density effect
matched_gold_historical_firth,3,gold_0083,sch_20260630_0013,Zhejiang,Jiaxing,nominal_exit,0,0.05554090,0.06712915,0.01158825,0.01158825,False,descending absolute change in preregistered elite-density effect
matched_gold_historical_firth,4,gold_0017,expand_fj_fuzhou_chengtou,Fujian,Fuzhou,functional_transfer,1,0.05554090,0.04814424,-0.00739666,0.00739666,False,descending absolute change in preregistered elite-density effect
matched_gold_historical_firth,5,gold_0027,expand_fj_fuzhou_guozi,Fujian,Fuzhou,functional_transfer,1,0.05554090,0.04814424,-0.00739666,0.00739666,False,descending absolute change in preregistered elite-density effect
complete_control_adjusted_lpm,1,gold_0020,expand_js_taizhou_jindong,Jiangsu,Taizhou,functional_transfer,1,0.00541842,0.02300536,0.01758694,0.01758694,False,descending absolute change in preregistered elite-density effect
complete_control_adjusted_lpm,2,gold_0012,pilot_gd_003,Guangdong,Foshan,functional_transfer,1,0.00541842,0.02151271,0.01609429,0.01609429,False,descending absolute change in preregistered elite-density effect
complete_control_adjusted_lpm,3,gold_0059,sch_20260630_0068,Zhejiang,Jiaxing,nominal_exit,0,0.00541842,0.02093313,0.01551471,0.01551471,False,descending absolute change in preregistered elite-density effect
complete_control_adjusted_lpm,4,gold_0083,sch_20260630_0013,Zhejiang,Jiaxing,nominal_exit,0,0.00541842,0.02093313,0.01551471,0.01551471,False,descending absolute change in preregistered elite-density effect
complete_control_adjusted_lpm,5,gold_0030,expand_js_changshu_invest,Jiangsu,Changshu,functional_transfer,1,0.00541842,-0.00945049,-0.01486890,0.01486890,True,descending absolute change in preregistered elite-density effect
complete_control_adjusted_firth,1,gold_0012,pilot_gd_003,Guangdong,Foshan,functional_transfer,1,0.00349710,0.01836307,0.01486597,0.01486597,False,descending absolute change in preregistered elite-density effect
complete_control_adjusted_firth,2,gold_0003,pilot_zj_001,Zhejiang,Hangzhou,functional_transfer,1,0.00349710,0.01716565,0.01366855,0.01366855,False,descending absolute change in preregistered elite-density effect
complete_control_adjusted_firth,3,gold_0020,expand_js_taizhou_jindong,Jiangsu,Taizhou,functional_transfer,1,0.00349710,0.01691364,0.01341654,0.01341654,False,descending absolute change in preregistered elite-density effect
complete_control_adjusted_firth,4,gold_0022,expand_hb_xiaogan_chengtou,Hubei,Xiaogan,functional_transfer,1,0.00349710,-0.00971133,-0.01320843,0.01320843,True,descending absolute change in preregistered elite-density effect
complete_control_adjusted_firth,5,gold_0056,sch_20260630_0052,Jiangsu,Nanjing,nominal_exit,0,0.00349710,-0.00548939,-0.00898649,0.00898649,True,descending absolute change in preregistered elite-density effect
