model_id,estimator,omitted_panel_id,omitted_case_id,omitted_province,omitted_city,omitted_exit_type,omitted_outcome,full_sample_elite_effect,leave_one_out_elite_effect,delta,absolute_delta,absolute_delta_relative_to_full_effect,sign_changed,matrix_rank,columns,converged,iterations,note,scaling_rule
matched_gold_historical_lpm,lpm,gold_0001,pilot_sn_xian_hightech,Shaanxi,Xian,nominal_exit,0,0.06637998,0.06581451,-0.00056547,0.00056547,0.00851873,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0002,pilot_gd_001,Guangdong,Guangzhou,substantive_exit,1,0.06637998,0.05640323,-0.00997675,0.00997675,0.15029763,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0003,pilot_zj_001,Zhejiang,Hangzhou,functional_transfer,1,0.06637998,0.06090555,-0.00547443,0.00547443,0.08247112,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0004,pilot_sc_001,Sichuan,Chengdu,nominal_exit,0,0.06637998,0.06611940,-0.00026058,0.00026058,0.00392565,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0005,pilot_hn_002,Hunan,Zhuzhou,nominal_exit,0,0.06637998,0.06550635,-0.00087363,0.00087363,0.01316107,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0006,pilot_zj_002,Zhejiang,Ningbo,substantive_exit,1,0.06637998,0.05772220,-0.00865778,0.00865778,0.13042762,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0007,pilot_zj_003,Zhejiang,Wenzhou,functional_transfer,1,0.06637998,0.07292105,0.00654106,0.00654106,0.09853970,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0008,pilot_js_004,Jiangsu,Xuzhou,nominal_exit,0,0.06637998,0.06549104,-0.00088894,0.00088894,0.01339169,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0009,pilot_hn_004,Hunan,Hengyang,nominal_exit,0,0.06637998,0.06555317,-0.00082681,0.00082681,0.01245573,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0010,pilot_sd_001,Shandong,Jinan,nominal_exit,0,0.06637998,0.06669037,0.00031039,0.00031039,0.00467595,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0011,pilot_js_003,Jiangsu,Yancheng,nominal_exit,0,0.06637998,0.06547868,-0.00090130,0.00090130,0.01357794,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0012,pilot_gd_003,Guangdong,Foshan,functional_transfer,1,0.06637998,0.06607603,-0.00030395,0.00030395,0.00457894,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0013,pilot_js_002,Jiangsu,Suzhou,nominal_exit,0,0.06637998,0.07301599,0.00663601,0.00663601,0.09997003,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0014,pilot_sd_002,Shandong,Qingdao,nominal_exit,0,0.06637998,0.06555062,-0.00082936,0.00082936,0.01249414,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0015,pilot_sc_003,Sichuan,Luzhou,nominal_exit,0,0.06637998,0.06551620,-0.00086379,0.00086379,0.01301279,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0016,expand_sd_jinan_chengjian,Shandong,Jinan,nominal_exit,0,0.06637998,0.06669037,0.00031039,0.00031039,0.00467595,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0017,expand_fj_fuzhou_chengtou,Fujian,Fuzhou,functional_transfer,1,0.06637998,0.05595469,-0.01042529,0.01042529,0.15705480,False,2,2,True,1,,full-sample standardization retained after deletion
