validation_unit_id,issuer_key,issuer_name,scope_disposition,screen_status,origin_count,source_row_ids,reference_case_id,reference_label,outcome_status,origin_document_ids_missing,current_scope_document_ids
mv_006dcea75bdc,宁波市海曙广聚资产经营有限公司,宁波市海曙广聚资产经营有限公司,eligible,screen_positive_nominal,1,exp5_20260703_0007,,,unknown,0,doc_exp5_20260703_0007_004
mv_0076d521190d,漳州市九龙江集团有限公司,漳州市九龙江集团有限公司,eligible,screened_no_direct_formal_event,1,exp9_20260704_0111,,,unknown,0,doc_exp9_20260704_0111_009
mv_02c9115b037c,西宁城市发展有限公司,西宁城市发展有限公司,eligible,screen_positive_nominal,1,sch_20260630_0041,,,unknown,0,doc_sch_20260630_0041_003
mv_034a759e08bb,厦门夏商集团有限公司,厦门夏商集团有限公司,ineligible,screened_no_direct_formal_event,1,exp9_20260704_0290,,,unknown,0,doc_exp9_20260704_0290_001;doc_exp9_20260704_0290_002
mv_039c3dde77ab,安徽省交通控股集团有限公司,安徽省交通控股集团有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0172,,,unknown,0,web_hkex_anhui_transport_controller
mv_0590d5f9c3fa,北京市政建设集团有限责任公司,北京市政建设集团有限责任公司,eligible,screened_no_direct_formal_event,2,sch_20260630_0150;sch_20260630_0170,,,unknown,0,doc_sch_20260630_0150_006;doc_sch_20260630_0170_009
mv_072dc57cd561,南京高淳国有资产经营控股集团有限公司,南京高淳国有资产经营控股集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0160,,,unknown,0,doc_sch_20260630_0160_003
mv_098975f6dda7,六盘水市开发投资有限公司,六盘水市开发投资有限公司,eligible,screened_no_direct_formal_event,1,pilot_gz_003,,,unknown,0,doc_gz_lps_kaitou_2016_bond_prospectus
mv_0ba8eaa09fa0,海南高速公路股份有限公司,海南高速公路股份有限公司,ineligible,screen_positive_nominal,1,exp10_20260704_0156,,,unknown,0,doc_exp10_20260704_0156_004
mv_0e2553f13e14,广州越秀集团股份有限公司,广州越秀集团股份有限公司,ineligible,screen_positive_nominal,1,exp9_20260704_0084,,,unknown,0,doc_exp9_20260704_0084_002;doc_exp9_20260704_0084_005
mv_104c380a2e52,淮安市文化旅游集团股份有限公司,淮安市文化旅游集团股份有限公司,eligible,screen_positive_nominal,1,exp5_20260703_0030,,,unknown,0,doc_exp5_20260703_0030_007
mv_14353a22e4cf,盐城东方投资开发集团有限公司,盐城东方投资开发集团有限公司,eligible,screen_positive_nominal,1,exp5_20260703_0034,,,unknown,0,doc_exp5_20260703_0034_004
mv_150f74fe31cf,安徽省宁国建设投资集团有限公司,安徽省宁国建设投资集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0173,,,unknown,0,doc_sch_20260630_0173_007
mv_159990d28253,重庆市江津区珞璜开发建设有限公司,重庆市江津区珞璜开发建设有限公司,eligible,screen_positive_nominal,1,sch_20260630_0094,,,unknown,0,doc_sch_20260630_0094_001
