issuer_key,issuer_name,screen_label,disclosure_count,source_row_ids,pool_ids,reference_case_id,reference_label,outcome_status,source_supported_documents,reference_official_exit_year,reference_official_exit_event,reference_case_in_screen_source_rows,shared_reference_screen_document_ids,event_time_alignment,independent_same_event_pairing
上海静安置业集团有限公司,上海静安置业(集团)有限公司,nominal_exit,1,exp9_20260704_0183,harvest_0233,,,unknown,doc_exp9_20260704_0183_003;doc_exp9_20260704_0183_005;doc_exp9_20260704_0183_006;doc_exp9_20260704_0183_008,,,false,,no_reference_link,not_established
上饶创新发展产业投资集团有限公司,上饶创新发展产业投资集团有限公司,nominal_exit,1,sch_20260630_0055,harvest_0055,sch_20260630_0055,nominal_exit,known,doc_sch_20260630_0055_001;doc_sch_20260630_0055_002;doc_sch_20260630_0055_003;doc_sch_20260630_0055_005;doc_sch_20260630_0055_006;doc_sch_20260630_0055_007,2015,Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; the local state acts only as shareholder with limited liability.,true,doc_sch_20260630_0055_001;doc_sch_20260630_0055_006;doc_sch_20260630_0055_007,not_established,not_established
上饶市城市建设投资开发集团有限公司,上饶市城市建设投资开发集团有限公司,nominal_exit,1,sch_20260630_0136,harvest_0136,expand_jx_shangrao_chengtou,nominal_exit,known,doc_sch_20260630_0136_001;doc_sch_20260630_0136_002;doc_sch_20260630_0136_003;doc_sch_20260630_0136_004;doc_sch_20260630_0136_006;doc_sch_20260630_0136_007,2015,Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions after January 1 2015 and that the issue will not increase government or hidden debt.,false,,not_established,not_established
中煤矿山建设集团有限责任公司,中煤矿山建设集团有限责任公司,nominal_exit,1,sch_20260630_0061,harvest_0061,,,unknown,doc_sch_20260630_0061_005;doc_sch_20260630_0061_006;doc_sch_20260630_0061_008,,,false,,no_reference_link,not_established
临沂城市建设投资集团有限公司,临沂城市建设投资集团有限公司,nominal_exit,2,sch_20260630_0115;sch_20260630_0154,harvest_0115;harvest_0154,expand_sd_linyi_chengtou,nominal_exit,known,doc_sch_20260630_0115_004;doc_sch_20260630_0115_005;doc_sch_20260630_0115_006;doc_sch_20260630_0115_008;doc_sch_20260630_0154_001;doc_sch_20260630_0154_006;doc_sch_20260630_0154_007;doc_sch_20260630_0154_008;doc_sch_20260630_0154_009,2015,Prospectus states that the government gradually stripped the issuer's government financing function and that debts requiring government responsibility were replaced or arranged; the issue also states that it will not increase government or hidden debt and will not be directly repaid by fiscal funds.,false,,not_established,not_established
丹阳投资集团有限公司,丹阳投资集团有限公司,nominal_exit,1,sch_20260630_0044,harvest_0044,sch_20260630_0044,nominal_exit,known,doc_sch_20260630_0044_003;doc_sch_20260630_0044_004;doc_sch_20260630_0044_006;doc_sch_20260630_0044_008;doc_sch_20260630_0044_009,2015,Issuer disclosure states that the company does not undertake government financing functions and that debt newly incurred since January 1 2015 is not local-government debt.,true,doc_sch_20260630_0044_003;doc_sch_20260630_0044_004,not_established,not_established
义乌中国小商品城控股集团有限公司,义乌中国小商品城控股集团有限公司,nominal_exit,1,sch_20260630_0078,harvest_0078,,,unknown,doc_sch_20260630_0078_004;doc_sch_20260630_0078_006;doc_sch_20260630_0078_007,,,false,,no_reference_link,not_established
乌鲁木齐交通旅游投资集团有限公司,乌鲁木齐交通旅游投资(集团)有限公司,nominal_exit,1,sch_20260630_0127,harvest_0127,,,unknown,doc_sch_20260630_0127_001;doc_sch_20260630_0127_002;doc_sch_20260630_0127_003;doc_sch_20260630_0127_005,,,false,,no_reference_link,not_established
乐山国有资产投资运营集团有限公司,乐山国有资产投资运营(集团)有限公司,nominal_exit,2,sch_20260630_0082;sch_20260630_0147,harvest_0082;harvest_0147,expand_sc_leshan_guozi,nominal_exit,known,doc_sch_20260630_0082_001;doc_sch_20260630_0082_002;doc_sch_20260630_0082_003;doc_sch_20260630_0082_004;doc_sch_20260630_0082_007;doc_sch_20260630_0147_001;doc_sch_20260630_0147_002;doc_sch_20260630_0147_003;doc_sch_20260630_0147_004;doc_sch_20260630_0147_007,2011,Prospectus disclosures state that the issuer was transferred out of the local government financing platform customer list by a 2011 Sichuan CBRC notice and was managed as a rectified general-company loan customer; later disclosures state that it does not undertake government financing functions after January 1 2015.,false,,not_established,not_established
亳州城建发展控股集团有限公司,亳州城建发展控股集团有限公司,nominal_exit,2,sch_20260630_0032;sch_20260630_0152,harvest_0032;harvest_0152,sch_20260630_0032,nominal_exit,known,doc_sch_20260630_0032_001;doc_sch_20260630_0032_004;doc_sch_20260630_0032_007;doc_sch_20260630_0032_008;doc_sch_20260630_0152_003;doc_sch_20260630_0152_004;doc_sch_20260630_0152_005,2015,Legal opinion states that the company does not undertake government financing functions and that debt newly incurred since January 1 2015 is not local-government debt.,true,doc_sch_20260630_0032_008,not_established,not_established
