case_id,company_name,province,city,official_exit_year,final_label,primary_evidence_doc,primary_evidence_lines,secondary_evidence_doc,secondary_evidence_lines,supplementary_source_id,reference_label_producer,human_confirmation_status
exp2_20260703_0001,许昌市城投发展集团有限公司,Henan,Xuchang,2015,nominal_exit,doc_exp2_20260703_0001_013,1216-1222;1230-1238,doc_exp2_20260703_0001_013,3912-3975;4316-4361,src_exp2_20260703_0001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
exp2_20260703_0009,南京江北新城投资发展有限公司,Jiangsu,Nanjing,2015,nominal_exit,doc_exp2_20260703_0009_007,1198-1208;1475-1478;5522-5525,doc_exp2_20260703_0009_007;doc_exp2_20260703_0009_006,1211-1212;1456-1458,src_exp2_20260703_0009,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
exp_20260703_0001,蚌埠市城市投资控股有限公司,Anhui,Bengbu,2015,nominal_exit,doc_exp_20260703_0001_005,1277-1280,doc_exp_20260703_0001_001,2044-2063;2848-2858;8352-8359,src_exp_20260703_0001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
exp_20260703_0008,晋中市公用基础设施投资控股(集团)有限公司,Shanxi,Jinzhong,2015,nominal_exit,doc_exp_20260703_0008_007,984-990;1121-1124,doc_exp_20260703_0008_007;doc_exp_20260703_0008_001,993-1002;999-1001,src_exp_20260703_0008,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_ah_luan_chengtou,六安城市建设投资有限公司,Anhui,Lu'an,2015,nominal_exit,doc_ah_luan_chengtou_2026_scp3_001,166;3276-3285;3292-3335;3357-3364;3879-3896;4355-4360;4378-4382;4457-4462;4887-4897;5067-5100;5670,doc_ah_luan_chengtou_2026_scp3_007,390-397;506-519;537-548;551-560;596;906-931;936-937;957-972,src_ah_luan_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_ah_suzhou_chengtou,宿州市城市建设投资集团(控股)有限公司,Anhui,Suzhou,2015,nominal_exit,doc_ah_suzhou_chengtou_2026_mtn3_005,803-816;860-878;4506-4523;4555-4593;8024-8038;8834-8865,doc_ah_suzhou_chengtou_2026_mtn3_002;doc_ah_suzhou_chengtou_2026_mtn3_007,667-671;875-879;182-184;824-828;1107-1108,src_ah_suzhou_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_fj_fuzhou_chengtou,福州城市建设投资集团有限公司,Fujian,Fuzhou,2015,functional_transfer,doc_fj_fz_chengtou_2026_scp2_005,1055-1059;1167-1170;1218-1220,doc_fj_fz_chengtou_2026_scp2_005;doc_fj_fz_chengtou_2026_scp2_009,1082-1089;1185-1208;1894-1910;7622-7651;7663-7692;88-95;547-578;589-592;1155-1163,src_fj_fz_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_fj_fuzhou_guozi,福州国有资本投资运营集团有限公司,Fujian,Fuzhou,2022,functional_transfer,doc_fj_fz_guozi_2026_scp1_006,139-145;162-173;203-211;535-540,doc_fj_fz_guozi_2026_scp1_004;doc_fj_fz_guozi_2026_scp1_002,5959-5981;5982-6014;81-95;102-104;523-538;851-867,src_fj_fz_guozi_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_gx_nanning_chengtou,南宁城市建设投资集团有限责任公司,Guangxi,Nanning,2018,nominal_exit,doc_gx_nanning_chengtou_2023_cp_prospectus,5216-5231;5204-5215,doc_gx_nanning_chengtou_2025_rating,86-106;263-266;520-553;827-835;919-922;1012-1020,src_gx_nanning_chengtou_2023_cp;src_gx_nanning_chengtou_2025_rating,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_hb_huangshi_chengfa,黄石市城市发展投资集团有限公司,Hubei,Huangshi,2015,nominal_exit,doc_hb_huangshi_chengfa_2026_cp8_001,638-676;1136-1166;1248-1265;1290-1332;12340-12430,doc_hb_huangshi_chengfa_2026_cp8_003;doc_hb_huangshi_chengfa_2026_cp8_005;doc_hb_huangshi_chengfa_2026_cp8_008,1-120;1-120;1-120,src_hb_huangshi_chengfa_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_hb_jingmen_chengtou,荆门市城市建设投资有限公司,Hubei,Jingmen,2015,nominal_exit,doc_hb_jingmen_chengtou_2026_cp1_002,1255-1269;1365-1367;1393-1422;1432-1435;2364-2377;2406-2408;2558-2568,doc_hb_jingmen_chengtou_2026_cp1_008,615-617;628-629;1012-1015;1023-1045;1047-1109;1121-1133;1895,src_hb_jingmen_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_hb_xiaogan_chengtou,孝感市城市建设投资公司,Hubei,Xiaogan,2015,functional_transfer,doc_hb_xg_chengtou_2026_mtn2_004,1147-1148;1248-1259;2168-2185,doc_hb_xg_chengtou_2026_mtn2_004;doc_hb_xg_chengtou_2026_mtn2_001,1213-1228;4400-4447;4590-4632;4672-4680;520-531;720-749,src_hb_xg_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_hen_luoyang_chengxiang,洛阳城乡建设投资集团有限公司,Henan,Luoyang,2015,nominal_exit,doc_hen_luoyang_chengxiang_2026_cp2_010,35;765;1336;1384-1395;3212;3469;4663;5328-5329;5386;6000;6068;6207,doc_hen_luoyang_chengxiang_2026_cp2_007,709-716;767-768;1685-1688;1859-1869;1875-1884,src_hen_luoyang_chengxiang_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_hlj_harbin_chengtou,哈尔滨市城市建设投资集团有限公司,Heilongjiang,Harbin,2019,nominal_exit,doc_hlj_hrb_chengtou_2026_mtn1_003,4156-4162;4165-4178;4191-4195,doc_hlj_hrb_chengtou_2026_mtn1_003,938-941;944-971;975-981;5544-5565;5571-5574;5764-5792,src_hlj_hrb_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_hn_yiyang_jiaotou,益阳市交通投资运营集团有限公司,Hunan,Yiyang,2019,nominal_exit,doc_hn_yiyang_jiaotou_2026_mtn1_004,23;1100;1108-1118;1134-1143;1184-1185;1877-1884;2027-2044;2614-2622;2664-2669;3272-3273;3471-3472;5192-5193;5240-5245,doc_hn_yiyang_jiaotou_2026_mtn1_006,577-579;597-609;623-626;1006-1007;1014-1020;1053-1055;1062-1065;1125-1128,src_hn_yiyang_jiaotou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_changshu_invest,常熟市投资控股集团有限公司,Jiangsu,Changshu,2015,functional_transfer,doc_js_changshu_invest_2026_mtn3_001,18-21;464-475;523-532;549-553;655-662;731-732;1156-1175;6509-6528,doc_js_changshu_invest_2026_mtn3_002,157-160;363-375;381-384;1802-1821,src_js_changshu_invest_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_huaian_touzi,淮安市投资控股集团有限公司,Jiangsu,Huai'an,2011,nominal_exit,doc_js_huaian_touzi_2026_scp3_007,1039-1040;1052-1058;1065;1252;4712-4732;4765-4767;4866-4867,doc_js_huaian_touzi_2026_scp3_007,172-173;478-483;516-517;598-602;997-998;2016-2027;3249-3277;3636-3655;3731-3733;3752-3757,src_js_huaian_touzi_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_jiangning_guozi,南京江宁国有资产经营集团有限公司,Jiangsu,Nanjing Jiangning,2015,nominal_exit,doc_js_jiangning_guozi_2026_mtn1_004,18-20;154-163;383-411;885-905;1716-1722;1727-1747;1766-1774;1785-1824;2285-2321,doc_js_jiangning_guozi_2026_mtn1_008,128-135,src_js_jiangning_guozi_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_suzhou_xiangcheng,苏州市相城城市建设投资(集团)有限公司,Jiangsu,Suzhou Xiangcheng,2015,nominal_exit,doc_js_suzhou_xiangcheng_2026_scp3_008,2973-2992;3008-3023;3437;3475-3476;3524-3525;4176-4185;4196-4199;4238,doc_js_suzhou_xiangcheng_2026_scp3_004,452-454;588-611;613-616;684,src_js_suzhou_xiangcheng_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_taizhou_chengtou,泰州市城市建设投资集团有限公司,Jiangsu,Taizhou,2019,nominal_exit,doc_js_taizhou_chengtou_2026_scp5_007,5114-5115;5196-5204;5243;5254;5270;5697-5698;6957-6961;7007;7061;7171-7172;9739-9740;9756-9757;9767;10130;10184,doc_js_taizhou_chengtou_2026_scp5_001,613-626;640-648;651;1374-1391,src_js_taizhou_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_taizhou_jindong,泰州市金东城市建设投资集团有限公司,Jiangsu,Taizhou,2015,functional_transfer,doc_js_tz_jindong_2026_mtn1_002,857-862;1164-1190;3148-3160,doc_js_tz_jindong_2026_mtn1_002,1983-2022;2224-2256;2257-2268;3120-3143;3181-3221;4860-4872;4958-4962,src_js_tz_jindong_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_xinghua_guotou,泰州市兴化国有资产投资控股有限公司,Jiangsu,Xinghua,2015,nominal_exit,doc_js_xinghua_guotou_2026_mtn2_004,21-22;1040-1043;3712-3717;3742-3743;3886-3887;5247-5255,doc_js_xinghua_guotou_2026_mtn2_008,1081-1088;1174-1178;1616-1617;1955-1967;2044-2048;2274;2285;2390-2392,src_js_xinghua_guotou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_yancheng_chengnan,盐城市城南新区开发建设投资有限公司,Jiangsu,Yancheng,2015,nominal_exit,doc_js_yancheng_chengnan_2026_mtn2_003,3098-3192;3988-4096;5260-5270,doc_js_yancheng_chengnan_2026_mtn2_005;doc_js_yancheng_chengnan_2026_mtn2_007,382-408;496-532;1530-1538,src_js_yancheng_chengnan_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_yixing_chengfa,宜兴市城市发展投资有限公司,Jiangsu,Yixing,2015,functional_transfer,doc_js_yx_chengfa_2026_mtn1_003,1052-1092;2097-2126;2140-2166;3901-3907;3945-3951;4611-4612;4676-4677;4793-4808;4823-4833,doc_js_yx_chengfa_2026_mtn1_004,588-601;700-714;727-730,src_js_yx_chengfa_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_zhangjiagang_chengtou,张家港市城市投资发展集团有限公司,Jiangsu,Zhangjiagang,2018,nominal_exit,doc_js_zhangjiagang_chengtou_2026_scp2_005,3831-3848;4085-4098;4119-4126;4641-4650;4691-4702;4734-4738;5238-5242;5292-5300;5389;5397;5638-5645,doc_js_zhangjiagang_chengtou_2026_scp2_004,315-318;503-509;598-609;1015-1028;1051-1089;1093-1097;1117;1186,src_js_zhangjiagang_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_js_zhenjiang_industry,镇江产业投资控股集团有限公司,Jiangsu,Zhenjiang,2023,nominal_exit,doc_js_zhenjiang_industry_2026_cp3_003,138-145;366-380;397-400;642-645;650-668;953-980;996-1022;1140-1173,doc_js_zhenjiang_industry_2026_cp3_005,511-520;533-549;563-571;6163-6175;7915-7936,src_js_zhenjiang_industry_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
